ID_MTPWEB;CATEGORIE;NOM;QUARTIER;SOUSQUARTIER;TELEPHONE;FAX;COURRIEL;SITEWEB;STATIONNEMENT;ID_GIS_DELTA;LATITUDE;LONGITUDE;ADDR_NUMERO;ADDR_SUFFIXE;ADDR_VOIETYPE;ADDR_NOMVOIE;ADDR_COMPLEMENTAIRE;ADDR_CODEPOSTAL;ADDR_VILLE;ADDR_CEDEX;AME_ACCESSIBILITEGENERALE;AME_BOUCLEMAGNETIQUE;AME_TOILETTE;AME_ASCENSEUR;AME_PLACESTATIONNEMENT;AME_ACCESSIBILITESTATIONNEMENT;ACCES_PRECISION;ACCES_TRAM;ACCES_BUS;COMMENTAIRE;OSM_ID;OSM_TYPE;ID_ANCHOR
1091;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement adolescents de la Maison pour tous Georges-Brassens;Mosson;Les Hauts de Massane;04 67 40 40 11;;;;;;;;;;Place;Jacques Brel;;34080;Montpellier;;;0;;;;;;;;;;;989
1177;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement adolescents de la Maison pour tous Michel-Colucci;Croix d'Argent;Bagatelle;04 67 42 52 85;;;;;;;;205;;Rue;de Chengdu;;34070;Montpellier;;;0;;;;;;;;;;;1056
1178;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement adolescents de la Maison pour tous Pierre-Azéma;;;04 67 02 48 52;;;;;;;;35;;Rue;André Malraux;;34000;Montpellier;;;0;;;;;;;;;;;1057
572;Centres de loisirs associatifs;Accueil sans hébergement maternel - Objectifs Animations Formations;Croix d'Argent;;04 67 58 71 98;;;;;;;;1;;Place;Fontjun;Ecole maternelle Bertie-Albrecht;34070;Montpellier;;;0;;;;;;;;;;;586
482;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison de quartier Antoine-de-Saint-Exupéry;Les Cévennes;La Martelle;04 67 47 30 90;;;;;;;;240;;Quai;Flora Tristan;Ecole maternelle Hélène-Boucher;34000;Montpellier;;;0;;;;;;;;;;;528
501;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison de quartier Frédéric-Chopin;Montpellier Centre;Les Beaux-Arts;04 67 72 61 83;;;;;;;;27;;Quai;des Tanneurs;Ecole maternelle La-Fontaine;34000;Montpellier;;;0;;;;;;;;;;;543
479;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison de quartier Pierre-Azéma;Port Marianne;La Pompignane;04 67 02 48 52;;;;;;;;35;;Rue;André Malraux;;34000;Montpellier;;;0;;;;;;;;;;;525
477;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous Albert-Camus;Croix d'Argent;Lemasson;04 67 27 33 41;;;;;;;;215;;Boulevard;Pedro de Luna;Ecole maternelle Robert Surcouf;34070;Montpellier;;;0;;;;;;;;;;;523
489;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous Albert-Dubout;Hôpitaux - Facultés;Aiguelongue;04 67 02 68 58;;;;;;;;2;bis;Rue;des Tourterelles;Ecole maternelle Luis-de-Camoens;34090;Montpellier;;;0;;;;;;;;;;;534
480;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous André-Chamson;Les Cévennes;La Martelle;04 67 75 10 55;;;;;;;;88;;Rue;Viollet le Duc;Ecole maternelle Jeanne-Deroin;34070;Montpellier;;;0;;;;;;;;;;;526
504;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous Boris-Vian;Prés d'Arènes;Les Aiguerelles;04 67 64 14 67;;;;;;;;14;;Rue;de l'Améthyste;;34070;Montpellier;;;0;;;;;;;;;;;546
484;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous Fanfonne-Guillierme;Les Cévennes;Alco;04 67 04 23 10;;;;;;;;;;Rue;des Avant-Monts;;34080;Montpellier;;;0;;;;;;;;;;;530
486;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous François-Villon;Les Cévennes;Alco;04 67 45 04 57;;;;;;;;;;Rue;des Araucarias;Ecole maternelle Jules-Michelet;34080;Montpellier;;;0;;;;;;;;;;;532
498;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous George-Sand;Montpellier Centre;Les Aubes;04 67 79 22 18;;;;;;;;25;bis;Avenue;Saint André de Novigens;;34000;Montpellier;;;0;;;;;;;;;;;540
471;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous Georges-Brassens;Mosson;Les Hauts de Massane;04 67 40 40 11;;;;;;;;297;;Avenue;du Comté de Nice;Ecole maternelle Jacques-Prévert;34080;Montpellier;;;0;;;;;;;;;;;517
473;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous Léo-Lagrange;Mosson;Mosson;04 67 40 33 57;;;;;;;;122;;Rue;de Bologne;Ecole maternelle James-Joyce;34080;Montpellier;;;0;;;;;;;;;;;519
505;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous L'Escoutaïre;Prés d'Arènes;Saint Martin;04 67 65 32 70;;;;;;;;67;;Rue;des Razeteurs;;34070;Montpellier;;;0;;;;;;;;;;;547
1095;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous Marcel-Pagnol;Les Cévennes;La Chamberte;04 67 42 98 51;;;;;;;;64;;Route;de Lavérune;;34070;Montpellier;;;0;;;;;;;;;;;993
472;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement maternel de la Maison pour tous Marie-Curie;Mosson;Celleneuve;04 67 75 10 34;;;;;;;;12;;Rue;des Ecoles;Ecole maternelle Pape-Carpantier;34080;Montpellier;;;0;;;;;;;;;;;518
510;Centres de loisirs associatifs;Accueil sans hébergement primaire - Objectifs Animations Formations;Croix d'Argent;;04 67 58 71 98;;;;;;;;2;;Place;Fontjun;Ecole élémentaire Garibaldi;34070;Montpellier;;;0;;;;;;;;;;;551
483;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison de quartier Antoine-de-Saint-Exupéry;Les Cévennes;La Martelle;04 67 47 30 90;;;;;;;;130;;Allée;du Briol;;34070;Montpellier;;;0;;;;;;;;;;;529
502;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison de quartier Frédéric-Chopin;Montpellier Centre;Les Beaux-Arts;04 67 72 61 83;;;;;;;;1;;Rue;du Marché aux Bestiaux;;34000;Montpellier;;;0;;;;;;;;;;;544
503;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison de quartier Jean-Pierre-Caillens;Prés d'Arènes;Tournezy;04 67 42 63 04;;;;;;;;;;Place;de Tibériade;;34070;Montpellier;;;0;;;;;;;;;;;545
1099;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison de quartier Pierre-Azéma;Port Marianne;La Pompignane;04 67 02 48 52;;;;;;;;35;;Rue;André Malraux;;34000;Montpellier;;;0;;;;;;;;;;;997
478;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Albert-Camus;Croix d'Argent;Lemasson;04 67 27 33 41;;;;;;;;118;;Allée;Maurice Bonafos;B.P. 8006;34037;Montpellier;Cedex 1;;0;;;;;;;;;;;524
1100;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Albert-Dubout;Hôpitaux - Facultés;Aiguelongue;04 67 02 68 58;;;;;;;;2;bis;Rue;des Tourterelles;Ecole maternelle Luis-de-Camoens;34090;Montpellier;;;0;;;;;;;;;;;998
481;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous André-Chamson;Les Cévennes;La Martelle;04 67 75 10 55;;;;;;;;88;;Rue;Viollet le Duc;Ecole primaire Baruch-Spinoza;34070;Montpellier;;;0;;;;;;;;;;;527
1096;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Boris-Vian;Prés d'Arènes;Les Aiguerelles;04 67 64 14 67;;;;;;;;14;;Rue;de l'Améthyste;;34070;Montpellier;;;0;;;;;;;;;;;994
1092;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous François-Villon;Les Cévennes;Alco;04 67 45 04 57;;;;;;;;;;Rue;des Araucarias;;34080;Montpellier;;;0;;;;;;;;;;;990
499;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous George-Sand;Montpellier Centre;Les Aubes;04 67 79 22 18;;;;;;;;25;bis;Avenue;Saint-André-de-Novigens;;34000;Montpellier;;;0;;;;;;;;;;;541
474;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Georges-Brassens;Mosson;Les Hauts de Massane;04 67 40 40 11;;;;;;;;;;Place;Jacques Brel;;34080;Montpellier;;;0;;;;;;;;;;;520
575;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Joseph-Ricôme;Montpellier Centre;Les Arceaux;04 67 58 71 96;;;;;;;;7;;Rue;Pagès;;34070;Montpellier;;;0;;;;;;;;;;;588
476;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Léo-Lagrange;Mosson;Mosson;04 67 40 33 57;;;;;;;;155;;Rue;de Bologne;;34080;Montpellier;;;0;;;;;;;;;;;522
1098;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous L'Escoutaïre;Prés d'Arènes;Saint Martin;04 67 65 32 70;;;;;;;;67;;Rue;des Razeteurs;;34070;Montpellier;;;0;;;;;;;;;;;996
485;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Marcel-Pagnol;Les Cévennes;La Chamberte;04 67 42 98 51;;;;;;;;64;;Route;de Lavérune;;34070;Montpellier;;;0;;;;;;;;;;;531
475;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Marie-Curie;Mosson;Celleneuve;04 67 75 10 34;;;;;;;;13;;Allée;Antonin Chauliac;;34080;Montpellier;;;0;;;;;;;;;;;521
569;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Mélina-Mercouri;Port Marianne;Millénaire;04 99 92 23 80;;;;;;;;842;;Rue;de la Vieille Poste;;34000;Montpellier;;;0;;;;;;;;;;;583
497;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Michel-Colucci;Croix d'Argent;Bagatelle;04 67 42 52 85;;;;;;;;205;;Rue;de Chengdu;;34070;Montpellier;;;0;;;;;;;;;;;539
488;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Paul-Émile-Victor;Les Cévennes;Alco;04 99 58 13 58;;;;;;;;1247;;Avenue;du Professeur Louis-Ravaz;;34080;Montpellier;;;0;;;;;;;;;;;533
500;Centres de loisirs des Maisons pour tous;Accueil Sans Hébergement primaire de la Maison pour tous Voltaire;Montpellier Centre;Gares;04 99 52 68 45;;;;;;;;3;;Square;Jean Monnet;;34070;Montpellier;;;0;;;;;;;;;;;542
835;Sociétés d'HLM;ACM (bureau central de la demande);Croix d'Argent;Pas du Loup;04 99 51 20 80;;;;;;;;24;;Rue;Robespierre;Résidence Paul-Valéry;34070;Montpellier;;;0;;;;;;;;;;;753
468;Sociétés d'HLM;ACM (siège social);Montpellier Centre;Antigone;04 99 52 75 00;04 67 22 15 50;;www.opac-montpellier.fr;;;;;407;;Avenue;du professeur Etienne-Antonelli;BP 75590;34071;Montpellier;Cedex 3;;0;;;;;;;;;;;515
1399;Compagnies;Action d'Espace /Cie François Rascalou;Montpellier Centre;;06 71 26 77 39;;actiondespace@free.fr;rascalou.wordpress.com/;;;;;170;;Rue;Joachim du Bellay;;34070;Montpellier;;;0;;;;;;;;;;;1241
445;Autres contacts utiles;Action Musique Opéra Junior;Montpellier Centre;Antigone;04 67 58 04 89;04 67 58 36 54;info@opera-junior.com;www.opera-junior.com;;;;;43;;Place;Vauban;Les Portes d'Antigone;34000;Montpellier;;;0;;;;;;;;;;;494
674;Compagnies;Adesso e Sempre / Julien Bouffier;Montpellier Centre;;06 08 01 43 81;;fs@adessoesemrpe.com;www.adessoesemrpe.com;;;;;42;;Rue;Adam de Craponne;;34000;Montpellier;;;0;;;;;;;;;;;675
1063;Etat;Adil de l'Hérault;Montpellier Centre;Gambetta;04 67 55 55 55;;adil34@adil.org;;;;;;4 bis;;Rue;Rondelet;;34000;Montpellier;;;0;;;;;;;;;;;963
1210;Maîtrise de l'énergie;Agence locale de l'énergie;Montpellier Centre;;04 67 91 96 91;;eie@ale-montpellier.org;www.ale-montpellier.org;Corum - Polygone - Comédie;1977;43.6099606945;3.88177175524;;;Esplanade;Charles de Gaulle;;34000;Montpellier;;;0;;;;;;ligne 1- Arrêt Comédie;;;;;1075
1220;Centres de recherche;Agropolis international;Hôpitaux - Facultés;; +33 (0)4 67 04 75 75;;agropolis@agropolis.fr;www.agropolis.fr/;;;;;;;Avenue;Agropolis;;34394;Montpellier;5;;0;;;;;;;;;;;1085
1219;Musées;Agropolis Museum;Hôpitaux - Facultés;;04 67 04 75 00;;museum@agropolis.fr;www.museum.agropolis.fr;;274;43.6462560065;3.86794968574;951;;Avenue;Agropolis;;34394;Montpellier;5;;0;;;;;;;;;;;1084
1208;Associations;Aides Montpellier;Montpellier Centre;Boutonnet;04 67 34 03 76 N° vert : 0805 160 011 (gratuit depuis un poste fixe);04 67 34 03 78;aidesmontpellier@wanadoo.fr;aides.org;;;;;300;;Rue;Auguste Broussonnet;ou Espace Saint-Charles, Avenue St-Charles Bâtiment B06 Etage ES;34090;Montpellier;;;0;;;;;;Ligne 1 arrêt : Stade Philippidès;N°7 – arrêt La Pile;;;;1074
1409;Relais assistantes maternelles indépendantes;Aiguelongue-Hôpitaux facultés-Boutonnet-Beaux Arts- Alco- Cévennes Nord;Hôpitaux - Facultés;Aiguelongue;04 67 54 45 13;;;;;;;;2;;Rue;des Tourterelles;;34090;Montpellier;;;0;;;;;;;;;;;1249
1111;Parcs et jardins;Aire de jeux Billie Holyday;Hôpitaux - Facultés;;;;;;;;;;;;Rue;Billie Holiday;;34090;Montpellier;;;0;;;;;;;;;;;1003
915;Parcs et jardins;Aire de jeux de Louisville;Mosson;;;;;;;;;;;;Avenue;de Louisville;;34080;Montpellier;;;0;;;;;;;;;;;828
930;Parcs et jardins;Aire de jeux du Mas de Bagnières;Croix d'Argent;;;;;;;;;;;;Chemin;de Poutingon;;34070;Montpellier;;;0;;;;;;;;;;;843
953;Parcs et jardins;Aire de jeux Saint-Martin;Prés d'Arènes;;;;;;;;;;;;Rue;de la Chélia;;34070;Montpellier;;;0;;;;;;;;;;;866
907;Parcs et jardins;Aire de jeux Vert-Bois;Hôpitaux - Facultés;;;;;;;;;;;;Rue;Ali Ben Checal;;34000;Montpellier;;;0;;;;;;;;;;;820
371;Galeries d'art;AL/MA;Montpellier Centre;;04 67 60 48 03;;allaire.jean-marc@idenix.com;;;;;;35,;;Rue;de la Valfère;;34000;Montpellier;;;0;;;;;;;;;;;427
1206;Associations;Amicale Languedoc Roussillon des Insuffisants Respiratoires;Hôpitaux - Facultés;Hôpitaux-Facultés;04 67 41 06 49;;;;;;;;36;;Avenue;Pierre d'Adhémar;;34090;Montpellier;;;0;;;;;;;;;;;1072
1054;Associations;Amitié franco-vietnamienne;Hôpitaux - Facultés;;04 67 52 46 31;04 67 52 46 31;aafv_34@yahoo.fr;;;;;;398;;Route;de Ganges;;34090;Montpellier;;;0;;;;;;;;;;;956
372;Galeries d'art;Aperto;Montpellier Centre;;04 67 72 57 41;;asso_aperto@yahoo.fr;aperto.free.fr;;;;;1;;Rue;Etienne Cardaire;;34000;Montpellier;;;0;;;;;;;;;;;428
1221;Autres lieux;Aquarium Mare Nostrum;Port Marianne;;+33(0)4 67 13 05 50;+33(0)4 67 13 05 51;;www.aquariummarenostrum.fr/;"Parking extérieur gratuit et dépose ""minute""";40324;43.6027872617;3.91709691157;;;Allée;Ulysse;Odysseum Montpellier;34000;Montpellier;;AUX_NORMES;0;AUX_NORMES;;;;"Autoroute A9, sortie ""Montpellier Est"", puis direction ""Odysseum""
Autoroute A75, sortie ""St Jean de Védas"", puis suivre A9 (direction Lyon) et sortie ""Millénaire"".";"Ligne 1, terminus ""Odysseum""";"Ligne n°9 ou ""La Ronde"", arrêt ""Odysseum""";;;;1086
943;Parcs et jardins;Aqueduc Saint-Clément;Les Cévennes;;;;;;;;;;461;;Rue;de la Croix de Las Cazes;;34000;Montpellier;;;0;;;;;;;;;;;856
1216;Associations;Arc en ciel;Montpellier Centre;;04 67 92 19 00;;;;;;;;10;;Boulevard;Victor Hugo;;34000;Montpellier;;;0;;;;;;;;;;;1081
837;Sociétés d'HLM;Arcade promotion;Montpellier Centre;Antigone;04 67 15 68 40;;;;;;;;974;;Avenue;du Pirée;;34000;Montpellier;;;0;;;;;;;;;;;754
19;Services municipaux;Archives municipales;Montpellier Centre;Antigone;04 67 34 87 50;04 67 34 87 51;;;Parking Europa;;;;287;;Rue;Poséidon;;34000;Montpellier;;AUX_NORMES;2;AUX_NORMES;AUX_NORMES;;;;"ligne 1 - station Léon Blum ou Place de l'Europe
ligne 2 - Place de l'Europe";ligne 12 - arrêt Piscine Olympique;;;;355
679;Compagnies;ART Compagnie;Montpellier Centre;;04 67 65 76 59;;art-cie@wanadoo.fr;;;;;;6;;Rue;Gerhardt;;34000;Montpellier;;;0;;;;;;;;;;;680
373;Galeries d'art;Art en thèse;Mosson;;04 67 60 57 18;;;;;;;;23,;;Allée;d'Irlande;;34080;Montpellier;;;0;;;;;;;;;;;429
540;Clubs sportifs;ASA Hérault - Critérium des Cevennes;Les Cévennes;Alco;04 67 61 00 99;;;asa-herault.com;;;;;577;;Avenue;du Professeur Louis Ravaz;Résidence le Rimbaud;34000;Montpellier;;;0;;;;;;;;;;;567
829;Compagnies;Association Acta;Montpellier Centre;;04 67 60 49 34;;;;;;;;4;;Impasse;Saint-Paul;;34000;Montpellier;;;0;;;;;;;;;;;748
1207;Associations;Association Aider;;;04 67 10 22 10;;gchavansot@chirripo.fr;www.aider.asso.fr;;;;;746;;Rue;de la Croix de Lavit;;34192;Montpellier;5;;0;;;;;;;;;;;1073
1205;Associations;Association Al-Anon-Alateen;;;04 67 40 58 56 ou 04 67 40 57 30;;;al-anon-alateen.fr;;;;;51;;Boulevard;Ernest Renan;;34000;Montpellier;;;0;;;;;;;;;;;1071
1204;Associations;Association Alcool Action;Montpellier Centre;Les Aubes;04 67 27 07 84 /06 31 97 55 58;;assos.alcool.action@hotmail.fr;;;;;;51;;Boulevard;Ernest Renan;;34000;Montpellier;;;0;;;;;;;;;;;1070
1137;Autres contacts utiles;Association Body-fighting;Montpellier Centre;Centre historique;06 78 22 46 53;;ruddy@bodyfighting.com;www.bodyfighting.com;;;;;3;;Rue;de l'Ecole de Pharmacie;;34000;Montpellier;;;0;;;;;;;;;;;1018
1136;Compagnies;Association Phono.Graf;Montpellier Centre;Gares;06 13 34 28 00;;assophono.graf@yahoo.fr;;;;;;20;;Rue;des Aiguerelles;;34000;Montpellier;;;0;;;;;;;;;;;1017
1085;Pôles emploi;Association pour l'emploi des cadres - Apec;Montpellier Centre;Antigone;0 810 805 805 (prix d'un appel local);04 67 13 43 01;;www.apec.fr;;;;;170;;Rue;Léon Blum;Immeuble La Vigie - Bâtiment B - BP 1151;34009;Montpellier;Cedex 1;;0;;;;;;ligne 1, station Léon-Blum;;;;;984
464;Adresses utiles;Association solidarité avec les travailleurs migrants (ASTM);Montpellier Centre;Gambetta;04 67 06 80 30;;;;;;;;17;;Rue;Marceau;;34000;Montpellier;;;0;;;;;;;;;;;511
828;Compagnies;Association Temps Danse;Montpellier Centre;;04 67 66 62 94;;tempsdanse-contact@wanadoo.fr;www.zaziemusette.org*, www.zazielamuse.org*, www.pepimorena.org*;;;;;14;;Boulevard;Louis Blanc;;34000;Montpellier;;;0;;;;;;;;;;;747
675;Compagnies;Atelier Théâtr'Elles;Montpellier Centre;;04 67 58 23 58;;;;;;;;12;;Rue;Meyrueis;Espace La Jetée;34000;Montpellier;;;0;;;;;;;;;;;676
1222;Logement;Auberge de jeunesse;Montpellier Centre;;(33)(0)4 67 60 32 22;(33)(0)4 67 60 32 30;montpellier@fuaj.org;www.fuaj.org/Montpellier#;;;;;;;Impasse;Petite Corraterie;rue des Ecoles Laïques;34000;Montpellier;;;0;;;;;;"Tramway Ligne 1 direction ""Mosson"", arrêt ""Louis Blanc"" à 100 m";;;;;1087
1213;Associations;Banque alimentaire de l'Hérault;;;04 67 12 01 10;;;;;;;;;;Route;de Saint-Aunès;Le Mas Neuf;34130;Mauguio;;;0;;;;;;;;;;;1078
1194;Bases nautiques;Base nautique La Maison du Lez;Montpellier Centre;;04 67 50 97 32;;;;;744;;;;;Allée;Alégria de Béracasa;;34000;Montpellier;;;0;;;;;;Ligne 1, arrêt Place de l'Europe - Ligne 2, arrêt Ponpignane;;;;;1063
150;Bases nautiques;Base nautique La Valette;Hôpitaux - Facultés;;04 67 86 62 35;;;;;;;;;;Rue;Jean-François Breton;;34090;Montpellier;;;0;;;;;;;"La Navette, arrêt Val de Montferrand
";;;;369
151;Bases nautiques;Base nautique Les Garrigues;Mosson;;04 67 40 55 82;;;;;742;43.6374321284;3.81574133728;;;Avenue;Guilhem de Poitiers;;34000;Montpellier;;;0;;;;;;;ligne 15;;48638589;2;328
746;Base ball;Baseball du domaine de Veyrassi;Hôpitaux - Facultés;;04 67 04 58 58;;;;;;43.6425169;3.8546702;;;Rue;des 4 vents;;34090;Montpellier;;;0;;;;;;;Ligne 22, La Navette;;26381147;2;348
576;Fontaines;Bassin Champ de Mars;Montpellier Centre;;;;;;Comédie;356;43.6113484161;3.88120091343;;;Esplanade;Charles de Gaulle;;34000;Montpellier;;;0;;;;;;ligne 1 - station Comédie;;;;;589
898;Parcs et jardins;Bassin Jacques Coeur;Port Marianne;;;;;;;;;;;;Avenue;de la Mer;;34000;Montpellier;;;0;;;;;;;;;;;811
1209;Beach volley;Beach volley de la Rauze;Prés d'Arènes;La Rauze;;;;;;TA101;43.592319750167;3.89677294422005;;;Avenue;du Docteur Jacques Fourcade;;34000;Montpellier;;;0;;;;;;;;;47808229;2;21
1201;Beach volley;Beach volley Mosson;Mosson;Les Hauts de Massane;;;;;;;;;;;Avenue;de Naples;;34080;Montpellier;;;0;;;;;;;;;;;1068
916;Parcs et jardins;Berges de la Mosson;Mosson;;;;;;;;;;;;Avenue;d'Heidelberg;;34080;Montpellier;;;0;;;;;;;;;;;829
1027;Adresses utiles;Bibliothèque américaine de Montpellier;Port Marianne;Richter;04 67 13 43 99;;americanlibrary@hotmail.com;www.bibliotheque-americaine.com;;;;;60;;Rue;des Etats-Généraux;;34000;Montpellier;;AUX_NORMES;0;;;;;;ligne1, station Les rives du Lez;;;;;934
550;Bibliothèques et médiathèques;Bibliothèque Jean-Paul Sartre;Montpellier Centre;Figuerolles;04 67 07 92 86;;;mediatheque.montpellier-agglo.com/;;TA38;43.6056079;3.8590528;4;;Rue;Albert Samain;;34000;Montpellier;;;0;;;;;;;ligne 7, arrêt Mas de Merle et ligne 11, arrêt Cité Gély;;601514882;1;118
549;Bibliothèques et médiathèques;Bibliothèque Paul Langevin;Hôpitaux - Facultés;;04 67 72 58 76;04 67 42 46 97;;mediatheque.montpellier-agglo.com/;;00052300;43.6266733882;3.88236497119;1071;;Avenue;de la Justice de Castelnau;Maison pour tous Albert-Dubout;34090;Montpellier;;;0;;;;;;"ligne 2, arrêt Aiguelongue 
";ligne 9 et La Ronde, arrêt Montasinos;;70896728;1;295
908;Parcs et jardins;Bois de Montmaur;Hôpitaux - Facultés;;;;;;;;43.6417;3.86872;;;Rue;du Val de Montferrand;;34090;Montpellier;;;0;;;;;;;;;22914199;2;821
655;Boule lyonnaise;Boule lyonnaise Antoine-Perrier;Les Cévennes;;;;;;;755;43.5965577103;3.84374337647;6;;Rue;Boussinesq;;34070;Montpellier;;;0;;;;;;;;;;;666
749;Boule lyonnaise;Boule lyonnaise Bernard-Gasset;Croix d'Argent;Pas du Loup;;;;;;;43.5967;3.84335;122;;Avenue;Maurice Planès;;34000;Montpellier;;;0;;;;;;;;;;;725
653;Boule lyonnaise;Boule lyonnaise du Parc Rimbaud;Montpellier Centre;;;;;;;TA121;43.6176186;3.8934023;;;Avenue;de Saint-Maur;Parc Rimbaud;34000;Montpellier;;;0;;;;;;;" Ligne 8, La Ronde
";;608100968;1;227
