ID_MTPWEB;CATEGORIE;NOM;QUARTIER;SOUSQUARTIER;TELEPHONE;FAX;COURRIEL;SITEWEB;STATIONNEMENT;ID_GIS_DELTA;LATITUDE;LONGITUDE;ADDR_NUMERO;ADDR_SUFFIXE;ADDR_VOIETYPE;ADDR_NOMVOIE;ADDR_COMPLEMENTAIRE;ADDR_CODEPOSTAL;ADDR_VILLE;ADDR_CEDEX;AME_ACCESSIBILITEGENERALE;AME_BOUCLEMAGNETIQUE;AME_TOILETTE;AME_ASCENSEUR;AME_PLACESTATIONNEMENT;AME_ACCESSIBILITESTATIONNEMENT;ACCES_PRECISION;ACCES_TRAM;ACCES_BUS;COMMENTAIRE;ENSAVOIRPLUS
442;Clubs de loisirs;Club de loisirs Le Lac;Mosson;;04 67 45 11 60;;;;;70021300;43.6425476290;3.81808011412;;;Rue Louis Pergaud;;Les Hauts de Massane;34080;Montpellier;;;0;;;;;;;ligne 1;<ul><li> <strong>Inscriptions</strong><br />Se renseigner auprès du bureau Age d'Or, au CCAS ou directement dans les clubs. Service gratuit pour les détenteurs de la carte Age d'Or. </li></ul><ul><li><strong>Horaires d'ouverture</strong><br />du lundi au vendredi, de 11h à 18h. </li></ul><ul><li><strong>Animations</strong>Jeux de société, lotos, bals,Chorale,  peinture sur verre/porcelaine , gymnastique, sorties, fêtes, conférences, théâtre,Lecture/Parole/Ecriture, tennis de table. <br /><br />Rencontres inter-générations <br />Jardin inter-générations<br /> </li></ul>;
420;Mairies annexes;Mairie annexe des Hauts de Massane;Mosson;Les Hauts de Massane;04 67 45 45 09 - 04 67 40 40 11;;;;;1780;43.6424014680;3.81824229991;;;Place ;Jacques Brel;Les Hauts de Massane - Maison pour tous Georges-Brassens;34080;Montpellier;;;0;;;;;;;ligne 15 arrêt place d'Italie;"<ul> <li>&#160;Heures d&#8217;ouverture : de 8h45 &#224; 12h15 et de 13h00 &#224; 16h30</li> <li>&#160;<a id=""11312"" href=""#"" typelien=""LienDocument"">Modalit&#233; de d&#233;livrance des Passeports biom&#233;triques</a></li> </ul> <ul> <li>Dans les locaux de la <a id=""518"" href=""#"" title=""Lien vers la Maison pour tous Georges Brassens"" typelien=""LienInterne"">Maison pour tous Georges-Brassens</a> </li> </ul>";
184;Escalade;Mur d'escalade Les Garrigues;Mosson;La Paillade;;;;;;743;43.6422669773;3.81718546969;;;Avenue de Naples;;Lac des Garrigues;34080;Montpellier;;;0;;;;;;;;;
319;Maisons pour tous;Maison pour tous Georges Brassens;Mosson;Les Hauts de Massane;04 67 40 40 11;04 67 45 18 88;mptbrassens@mpt.ville-montpellier.fr;;Parking tout public;1492;43.6421885569;3.81800071487;;;Place;Jacques-Brel;Les Hauts de Massane;34080;Montpellier;;;0;AUX_NORMES;;;;;ligne 1 station Hauts de Massane;15 arrêt Place d'Italie;"<p><strong>Accueil et renseignement </strong><br>du lundi au vendredi de 9h &#224; 19h30</p>";
29;Ecoles maternelles;Ecole maternelle Agrippa d'Aubigné;Hôpitaux - Facultés;;04 67 63 24 20;;;;;951;43.6421198487;3.85650119060;147;;rue des Quatre Seigneurs;;;34090;Montpellier;;;0;;;;;;;;<p> </p>;
197;Gymnases;Gymnase Les Garrigues;Mosson;;;;;;;1645;43.6420903565;3.81597492342;145;;avenue du Comté-de-Nice;;;34080;Montpellier;;;0;;;;;;;;<h5> Clubs sportifs et disciplines<br /> </h5><ul><li>Montpellier Badminton (04 67 84 01 19) </li><li>Mosson Full Contact (06 60 05 36 00) </li><li>AS Agropolis Volley (04 67 04 63 86) </li><li>Come on Volley (04 67 66 01 34) </li><li> Montpellier Volley  (04 67 45 77 77) </li></ul><h5><br /> <br />Horaires</h5><ul><li>8h - 18h : collège les Garrigues </li><li>18h - 22h : clubs<br /> </li></ul><h5><br /> <br />Tarifs</h5><ul><li>Sous convention avec le Conseil Général </li><li>Gratuit pour les clubs sportifs<br /> </li></ul>;
557;Postes de Police municipale;Poste de police municipale Hauts de Massane;Mosson;;04 67 75 22 14;;;;;00225700;43.6419376543;3.81791082396;45;;avenue Guilhem de Poitiers;;Hauts de Massane;34080;Montpellier;;;0;;;;;;;;<ul><li>Heures d'ouverture : du lundi au vendredi de 7h à 21h. </li><li>Ce poste couvre les sous-quartiers : <br />- Les Hauts de Massane, <br />- Mosson, <br />- Celleneuve.</li></ul>;
85;Ecoles élémentaires;Ecole élémentaire Docteur Calmette;Hôpitaux - Facultés;;04 67 63 47 25;;;;;947;43.6413822065;3.85664148479;147;;rue des Quatre Seigneurs;;;34090;Montpellier;;;0;;;;;;;;;
1049;Jardins partagés;Parc de la Carriera et Lac des Garrigues;Mosson;Les Hauts de Massane;04 67 40 40 11;;;;;00187500;43.6412625745;3.81721152610;;;Rue Louis Pergaud;;;34080;Montpellier;;;0;;;;;;;;"<p>Renseignements : <a id=""TPL_ANNUAIRE"" title=""Maison pour tous Georges-Brassens"" href=""#"" typelien=""LienTemplate"" ancre=""319"">Maison pour tous Georges-Brassens</a></p>";
360;Résidences-foyers;La Carrièra;Mosson;;04 67 75 25 70;;;;;70018100;43.6412560245;3.81771342051;50;;rue Louis-Pergaud;;;34080;Montpellier;;;0;;;;;;;ligne 15;<p>Située sur les Hauts de Massane, elle peut accueillir 83 résidants dont 50 lits médicalisés.</p><p>Les logements sont de type F1 avec loggia.</p><p>La surveillance paramédicale est effectuée par le personnel de l’établissement 24h sur 24. Chaque résidant peut disposer d’un appel malade portable. </p><p>Le choix d’animation est grand : ergothérapie, atelier mémoire et gymnastique,<br />participation à la vie de l’établissement, comité de lecture avec deux écoles élémentaires du quartier, sorties, bibliothèque et vidéothèque, culte religieux... </p>;
717;Terrains de rugby;Terrain de rugby domaine de Veyrassi;Hôpitaux - Facultés;;;;;;;1539;43.6410288094;3.85274677666;;;Rue des 4 vents;;;34000;Montpellier;;;0;;;;;;;Ligne 22, La Navette;;
657;Parcours sportifs;Parcours sportif du Bois de Montmaur;Hôpitaux - Facultés;;;;;;;753;43.6409268143;3.86723682325;;;Chemin du Réservoir de Montmaur;;;34090;Montpellier;;;0;;;;;;;La Navette;<p>Distance : 1,3 Km <br />Pas d'éclairage sur le parcours <br />Accès libre</p>;
37;Ecoles maternelles;Ecole maternelle Pablo-Picasso;Mosson;;04 67 40 06 97;;;;;1242;43.6409024204;3.81721500782;41;;avenue Guilhem de Poitier;;;34080;Montpellier;;;0;;;;;;;;;
1298;Autres contacts utiles;Université Montpellier I - UFR STAPS;Hôpitaux - Facultés;;04 67 41 57 00;04 67 41 57 08;;www.univ-montp1.fr/l_universite/ufr_et_instituts/ufr_staps;;38954;43.6407563202;3.85395838552;700;;av du Pic Saint-Loup;;;34090;Montpellier;;;0;;;;;;;;<p> </p>;
171;Boulodromes de Pétanque;Boulodrome Les Tritons;Mosson;Les Hauts de Massane;;;;;;776;43.6406880525;3.81293492207;;;Rue de Gênes;;;34080;Montpellier;;;0;;;;;;;;<p> </p>;
147;Marchés de quartiers;Marché du Plan des 4 Seigneurs;Hôpitaux - Facultés;;;;;;;160500;43.6406159079;3.85793079879;;;Place; Jean Baumel;;34000;Montpellier;;;0;;;;;;;ligne 23, La Navette arrêt Plan des 4 Seigneurs;"<ul> <li>Jusqu'&#224; 9 commer&#231;ants selon les jours <br><br></li> <li>Ouverture<br>Mardi, vendredi, samedi de 7h &#224; 13h </li> </ul>";
293;Terrains de foot;Terrain de foot Les Tritons;Mosson;;;;;;;1421;43.6404060951;3.81257620357;;;Allée des Hauts-de-Montpellier;;;34080;Montpellier;;;0;;;;;;;ligne 15;<h5>Horaires</h5><ul><li> Dans la journée : écoles, collèges, lycées</li><li>18h - 22h : clubs</li></ul><h5>Tarifs </h5><ul><li>Gratuit pour les écoles primaires et les clubs sportifs</li><li>Payant pour les collèges, lycées et les universités. </li></ul><p>Dans tous les cas, une demande de créneaux devra être faite auprès du service des Sports. </p>;
120;Ecoles élémentaires;Ecole élémentaire Kurosawa;Mosson;;04 67 75 28 34;;;;;1140;43.6403964902;3.81972307148;400;;rue Pierre Cardenal;;;34080;Montpellier;;;0;;;;;;;;<p> </p>;
1267;Hôpitaux;C.H.U Bellevue;Les Cévennes;;04 67 33 67 33;04 67 33 67 70;webmaster@chu-montpellier.fr;www.chu-montpellier.fr/;;39070;43.6403430949;3.85947650688;1;;place Jean Baumel;;;34295;Montpellier;5;;0;;;;;;; N°6 / ARRET : Plan des 4 Seigneurs;"Centre de soins pour personnes agée Bellevue

Il reçoit, depuis 1973, des personnes âgées nécessitant des soins médicaux. Situé sur une colline de la banlieue nord de Montpellier et sur un terrain de cinq hectares très boisé, il est composé d'une unité de moyen séjour qui accueille des personnes âgées nécessitant une rééducation, une réautonomisation et d'une unité de long séjour pour les personnes âgées ayant perdu leur autonomie et dont l'état de santé nécessite une surveillance médicale constante.";
66;Ecoles maternelles;Ecole maternelle Indira-Gandhi;Mosson;;04 67 75 35 45;;;;;1142;43.6399291351;3.81974628874;380;;rue Pierre-Cardenal;;;34080;Montpellier;;;0;;;;;;;;<p> </p>;
65;Ecoles maternelles;Ecole maternelle Nicolas-Copernic;Mosson;;04 67 75 49 31;;;;;1163;43.6397733543;3.81266401842;;;Rue Pierre-Nicolas;;;34080;Montpellier;;;0;;;;;;;;;
115;Ecoles élémentaires;Ecole élémentaire Marc Bloch;Mosson;;04 67 75 13 87;;;;;1161;43.6397084372;3.81211776189;135;;allée des hauts de Montpellier;;;34080;Montpellier;;;0;;;;;;;;<p> </p>;
1278;Cliniques;Clinique Fontfroide;Mosson;;04 67 61 79 79;04 67 61 78 56;;;Un parking visiteur est  à votre disposition de 8h à 21h.;39076;43.6394236820;3.83112401422;1800;;rue;Saint Priest;Parc Euromédecine;34 097;Montpellier;5;;0;;;;;;Ligne 1/ Station Euromédecine;Ligne 16/ arrêt Euromédecine;"<p>La Clinique Fontfroide est un &#233;tablissement moderne de r&#233;&#233;ducation et r&#233;adaptation fonctionnelles, dot&#233;e d&#8217;un secteur de r&#233;adaptation cardiaque et d'une unit&#233; des &#233;tats v&#233;g&#233;tatifs chroniques.&#160;&#160;</p>";
660;Parcours sportifs;Parcours sportif du Lac des Garrigues;Mosson;;;;;;;741;43.6389917496;3.81583010593;;;Avenue Guilhem-de-Poitiers;;;34080;Montpellier;;;0;;;;;;;;<p>Distance : 3 Km <br />Pas d'éclairage sur la parcours <br />Accès libre</p>;
523;Palais des sports;Palais des sports René-Bougnol;Hôpitaux - Facultés;Vert-Bois;04 67 52 76 14;;;;Abords 600 places;1385;43.6381414444;3.87463299810;1 000;;avenue du Val-de-Monferrand;;;34090;Montpellier;;;0;;;600 places aux abords;;;;ligne 9 arrêt René-Bougnol et Navette Agropolis Lavalette arrêt Zoo;"<p>Le palais des sports René-Bougnol, géré par <a id=""310"" title=""Montpellier Agglomération"" href=""#"" typelien=""LienExterne"">Montpellier Agglomération</a>, a souvent été le théâtre des exploits du ?Montpellier Handball (champions de France et d'Europe). Ses gradins accueillent 2 500 personnes. </p><p>L'équipement comprend également une salle de danse et deux salles de judo animées par 25 ?associations sportives. </p>";
218;Palais des sports;Palais des sports Pierre-de-Coubertin;Mosson;;04 67 03 02 24;;;;Abords 400 places;1388;43.6380808121;3.81415817350;;;Avenue de Naples;;;34000;Montpellier;;;0;;;;;;;Ligne 15;;
118;Ecoles élémentaires;Ecole élémentaire Galilée;Mosson;;04 67 75 34 59;;;;;1169;43.6380102325;3.81973650903;47;; rue Jaufré Rudel;;;34080;Montpellier;;;0;;;;;;;;;
63;Ecoles maternelles;Ecole maternelle Averroès;Mosson;;04 67 75 27 10;;;;;1166;43.6380013025;3.81912427078;47;;rue Jaufré Rudel;;;34080;Montpellier;;;0;;;;;;;;;
179;Boulodromes de Pétanque;Boulodrome Saint-Priest;Hôpitaux - Facultés;;;;;;;1653;43.6379809682;3.83537228849;;;Rue Billie-Holliday;;;34090;Montpellier;;;0;;;;;;;;<p> </p>;
1287;Centres de recherche;Centre national de la recherche scientifique Languedoc-Roussillon (CNRS);Hôpitaux - Facultés;;04 67 61 34 34;04 67 04 32 36;;www.dr13.cnrs.fr;;40026;43.6377536011;3.86458740008;1919;;route de Mende;;;34293;Montpellier;Cedex 5;;0;;;;;;;;<p>Le CNRS est l’un des principaux acteurs de la recherche scientifique en région Languedoc-Roussillon. Il intervient dans tous les champs disciplinaires de la recherche. </p>;
151;Bases nautiques;Base nautique Les Garrigues;Mosson;;04 67 40 55 82;;;;;742;43.6374321284;3.81574133728;;;Avenue Guilhem de Poitiers;;;34000;Montpellier;;;0;;;;;;;ligne 15;<ul><li>Installation sportive municipale </li></ul>;
289;Terrains de foot;Terrain de foot Jeannot Véga;Hôpitaux - Facultés;;;;;;;1431;43.6369921728;3.87440511622;;;rue Antoine Laurens Jussieu;;;34080;Montpellier;;;0;;;;;;;Ligne 9;<h5>Horaires</h5><ul><li>Dans la journée : écoles, collèges, lycées</li><li>18h - 22h : clubs </li></ul><h5>Tarifs </h5><ul><li>Gratuit pour les écoles primaires et les clubs sportifs</li><li>Payant pour les collèges, lycées et les universités. </li></ul><p>Dans tout les cas, une demande de créneaux devra être faite auprés du service des Sports. </p>;
664;Tennis;Tennis Les Garrigues 1 à 5;Mosson;;04 67 75 07 01;;;;;516;43.6369565327;3.81476800076;100;;avenue de Naples;;;34080;Montpellier;;;0;;;;;;;Ligne 15;<ul><li>Horaires et tarifs<br />Se renseigner auprès de la Maison pour tous Georges Brassens.</li></ul>;
1146;Ecoles d'enseignement supérieur;Ecole d'architecture LR;Hôpitaux - Facultés;Plan des Quatre Seigneurs;04 67 91 89 89;04 67 41 35 07;;www.montpellier.archi.fr/;;70012100;43.6365979955;3.85678660887;179;;rue de l'esperou;;;34093;Montpellier;5;;0;;;;;;;Ligne 13 - La Navette Agropolis;<p> </p>;
1297;Autres contacts utiles;Université Montpellier I -  UFR d'Odontologie;Hôpitaux - Facultés;;04 67 10 44 70;04 67 10 45 82;;;;39226;43.6363560095;3.82341408939;545;;Av du Prof J.L. Viala;;;34 193;Montpellier;Cedex 5;;0;;;;;;;;;
33;Ecoles maternelles;Ecole maternelle Teresa;Hôpitaux - Facultés;;04 67 54 65 67;;ce.0341554e@ac-montpellier.fr;;;1301;43.6362565010;3.87411233580;30,;;rue;Antoine-Laurent-de-Jussieu;;34090;Montpellier;;;0;;;;;;;;;
1284;Centres de recherche;Centre informatique national de l'enseignement supérieur (CINES);Hôpitaux - Facultés;;04 67 14 14 14;04 67 52 37 63;svp@cines.fr;www.cines.fr;;40253;43.6361823648;3.84204477831;950;;rue de Saint Priest;;;34097;Montpellier;Cedex 5;;0;;;;;;;;Etablissement public national qui met à la disposition de la communauté scientifique de l’Enseignement Supérieur et de la Recherche publique, des moyens informatiques exceptionnels pour le calcul de haute performance et l’archivage (conservation à long terme) de documents électroniques.;
86;Ecoles élémentaires;Ecole élémentaire Jules Ferry;Hôpitaux - Facultés;;04 67 54 41 71;;;;;1299;43.6361758681;3.87452471554;88;;rue Antoine-Laurent de Jussieu;;;34090;Montpellier;;;0;;;;;;;;<p> </p>;
1291;Centres de recherche;Institut national de la santé et de la recherche médicale (INSERM);Hôpitaux - Facultés;;04 67 63 61 30;04 67 63 70 84;;www.languedoc-roussillon.inserm.fr;;70006700;43.6360972490;3.84574113155;60;;rue de Navacelles;;;34394;Montpellier;Cedex 5;;0;;;;;;;;<p>L'Inserm est le seul organisme public français entièrement dédié à la recherche biologique, médicale et en santé des populations.</p>;
772;Multi-accueils municipaux;Multi accueils Les Copains d'Abord;Mosson;;04 67 40 06 80;;;;;1504;43.6356898713;3.81804483340;1;;Place Jacques Brel;;;34080;Montpellier;;;0;;;;;;;;<p> </p>;
1144;Ecoles d'enseignement supérieur;Conservatoire National des Arts et Metiers (CNAM);Mosson;;04 67 63 40;04 67 54 08 36;cnamlr@cnam.fr;www.cnam.agropolis.fr/;;70012500;43.6353967767;3.84154314073;989;;rue de la croix verte;;Parc Euromédecine;34093;Montpellier;05;;0;;;;;;;Ligne 16- Euromédecine - Tournezy;<p> </p>;
34;Ecoles maternelles;Ecole maternelle Marguerite-Yourcenar;Hôpitaux - Facultés;;04 67 57 06 90;;;;;1622;43.6340346279;3.83158975693;71;;rue Jean Joseph Laborde;;;34000;Montpellier;;;0;;;;;;;;<p> </p>;
337;Collèges;Collège Les Escholiers de la Mosson;Mosson;;04 67 10 47 30;04 67 10 47 36;;;;70011600;43.6333614839;3.82109310282;70;;avenue du Biterrois;;;34184;Montpellier;Cedex 4;;0;;;;;;;;<p> Sans internat - avec demi pension</p>;
546;Bibliothèques et médiathèques;Médiathèque Jean-Jacques Rousseau;Mosson;Les Hauts de Massane;04 67 10 70 20;04 67 10 70 29;;mediatheque.montpellier-agglo.com;;616;43.6333123917;3.81933956735;230;;avenue du Biterrois;;;34080;Montpellier;;;0;;;;;;ligne 1, station Saint-Paul;ligne 15, arrêt Gémeaux;"<p>La médiathèque, gérée par <a id=""310"" title=""Accéder au site de Montpellier Agglomération"" href=""#"" typelien=""LienExterne"">Montpellier Agglomération</a>, propose de nombreux espaces et services dédiés aux enfants. </p></font />";
1362;Parcs et jardins;Domaine d'O;Hôpitaux - Facultés;;0800200165;;;www.domaine-do-34.eu;;39146;43.6329439123;3.83913649513;;;Rond-point;du Château d’O;;34090;Montpellier;;;0;;;;;"Parking
Accessible aux personnes handicapées.

";"Accès
Tramway : ligne 1, arrêt Château d'Ô 
";bus n°7 et n°16 arrêt Château d’O;"<p>Propri&#233;t&#233; du Conseil G&#233;n&#233;ral de l'H&#233;rault, ce parc de 8 hectares date du XIX&#232; si&#232;cle. Une partie du jardin est compos&#233;e &#224; la fran&#231;aise. Il est &#233;galement le th&#233;&#226;tre de nombreuses manifestations culturelles.<br><br>Acc&#232;s au parc, au th&#233;&#226;tre et au ch&#226;teau d'O<br>Rond point du Ch&#226;teau d'O (par l'avenue des Moulins)</p> <p>Acc&#232;s &#224; l'amphith&#233;&#226;tre d'O et aux chapiteaux</p> <p>&#160;</p> <p>Folie d'O<br>Tr&#232;s caract&#233;ristique de ces r&#233;sidences proches des villes o&#249; les privil&#233;gi&#233;s donnaient des f&#234;tes, cette ""folie"" du 18&#232;me si&#232;cle a &#233;t&#233; &#233;difi&#233;e entre 1743 et 1750, par l'architecte Montpelli&#233;rain, Charles Gabriel Le Blanc.</p> <p>L'int&#233;r&#234;t de ce domaine r&#233;side essentiellement dans ses ext&#233;rieurs, avec ses jardins qui abritent des esp&#232;ces v&#233;g&#233;tales m&#233;diterran&#233;ennes et les sculptures qui encadrent le grand bassin.</p> <p>Visites possibles uniquement lors des expositions</p>";"<p>Les horaires d'ouverture du parc sont :</p> <ul> <li>en &#233;t&#233;, du mardi au dimanche de 9h &#224; 19h;</li> <li>en hiver, du mardi au dimanche de 9h &#224; 17h30.</li> </ul>"
1319;Parcs et jardins;Parc du Château d'O;Hôpitaux - Facultés;;;;;;;39146;43.6329439123;3.83913649513;;;Rond-point;Rond-point du Château d'O;;34080;Montpellier;;;0;;;;;;;;"<p>&#160;Propri&#233;t&#233; du Conseil G&#233;n&#233;ral de l'H&#233;rault, ce parc de 8 hectares date du XIX&#232; si&#232;cle. Une partie du jardin est compos&#233;e &#224; la fran&#231;aise. Il est &#233;galement le th&#233;&#226;tre de nombreuses manifestations culturelles.</p>";
