"Exercice","I_F","D_R","Nature","Sous-fontion","Montant","Libellé nature","Libellé fonction"
2005,"F",1,60611,412,"21128,18","EAU ET ASSAINISSSEMENT","STADES"
2005,"F",1,60611,823,"19960,04","EAU ET ASSAINISSSEMENT","ESPACES VERTS URBAINS"
2005,"F",1,60612,20,"449258,36","ENERGIE ET ELECTRICITE","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60612,24,"7354,85","ENERGIE ET ELECTRICITE","FETES ET CEREMONIES"
2005,"F",1,60612,26,"3839,64","ENERGIE ET ELECTRICITE","CIMETIERES ET POMPES FUNEBRES"
2005,"F",1,60612,211,"625651,09","ENERGIE ET ELECTRICITE","ECOLES MATERNELLES"
2005,"F",1,60612,251,"68672,73","ENERGIE ET ELECTRICITE","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,60612,30,"50120,64","ENERGIE ET ELECTRICITE","SERVICES COMMUNS"
2005,"F",1,60612,412,"369717,47","ENERGIE ET ELECTRICITE","STADES"
2005,"F",1,60612,422,"210460,36","ENERGIE ET ELECTRICITE","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,60612,64,"117111,22","ENERGIE ET ELECTRICITE","CRECHES ET GARDERIES"
2005,"F",1,60612,814,"2027057,4","ENERGIE ET ELECTRICITE","ECLAIRAGE PUBLIC"
2005,"F",1,60612,821,"164246,52","ENERGIE ET ELECTRICITE","EQUIPEMENTS DE VOIRIE"
2005,"F",1,60612,823,"30290,84","ENERGIE ET ELECTRICITE","ESPACES VERTS URBAINS"
2005,"F",1,60612,91,"26825,33","ENERGIE ET ELECTRICITE","FOIRES ET MARCHES"
2005,"F",1,60613,20,"156414,96","CHAUFFAGE URBAIN","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60613,211,"7874,45","CHAUFFAGE URBAIN","ECOLES MATERNELLES"
2005,"F",1,60621,20,"111962,05","COMBUSTIBLES","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60621,26,"2427,56","COMBUSTIBLES","CIMETIERES ET POMPES FUNEBRES"
2005,"F",1,60621,822,"1015,16","COMBUSTIBLES","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,60621,823,"708,63","COMBUSTIBLES","ESPACES VERTS URBAINS"
2005,"F",1,60622,20,"538887,78","CARBURANTS","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60622,30,"211,54","CARBURANTS","SERVICES COMMUNS"
2005,"F",1,60622,40,"210,28","CARBURANTS","SERVICES COMMUNS"
2005,"F",1,60622,822,"1890,52","CARBURANTS","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,60623,24,"18395,38","ALIMENTATION","FETES ET CEREMONIES"
2005,"F",1,60623,112,"1824,31","ALIMENTATION","POLICE MUNICIPALE"
2005,"F",1,60623,251,"1805940,77","ALIMENTATION","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,60623,415,"519,18","ALIMENTATION","MANIFESTATIONS SPORTIVES"
2005,"F",1,60623,421,"5080,46","ALIMENTATION","CENTRES DE LOISIRS"
2005,"F",1,60623,422,"228,4","ALIMENTATION","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,60623,64,"116830,38","ALIMENTATION","CRECHES ET GARDERIES"
2005,"F",1,60623,823,"119575,73","ALIMENTATION","ESPACES VERTS URBAINS"
2005,"F",1,60628,20,"73408,62","AUTRES FOURNITURES NON STOCKEES","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60628,22,"91,79","AUTRES FOURNITURES NON STOCKEES","ADMINISTRATION GENERALE DE L'ETAT"
2005,"F",1,60628,23,"1952,28","AUTRES FOURNITURES NON STOCKEES","INFORMATION, COMMUNICATION, PUBLICITE"
2005,"F",1,60628,24,"37208,07","AUTRES FOURNITURES NON STOCKEES","FETES ET CEREMONIES"
2005,"F",1,60628,26,"3906,44","AUTRES FOURNITURES NON STOCKEES","CIMETIERES ET POMPES FUNEBRES"
2005,"F",1,60628,112,"17262,01","AUTRES FOURNITURES NON STOCKEES","POLICE MUNICIPALE"
2005,"F",1,60628,12,"56464,53","AUTRES FOURNITURES NON STOCKEES","HYGIENE ET SALUBRITE PUBLIQUE"
2005,"F",1,60628,211,"58055,11","AUTRES FOURNITURES NON STOCKEES","ECOLES MATERNELLES"
2005,"F",1,60628,212,"25600,48","AUTRES FOURNITURES NON STOCKEES","ECOLES PRIMAIRES"
2005,"F",1,60628,251,"199840,76","AUTRES FOURNITURES NON STOCKEES","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,60628,30,"4806,92","AUTRES FOURNITURES NON STOCKEES","SERVICES COMMUNS"
2005,"F",1,60628,322,"6,8","AUTRES FOURNITURES NON STOCKEES","MUSEES"
2005,"F",1,60628,323,"1665,96","AUTRES FOURNITURES NON STOCKEES","ARCHIVES"
2005,"F",1,60628,411,"44456,56","AUTRES FOURNITURES NON STOCKEES","SALLES DE SPORT, GYMNASES"
2005,"F",1,60628,412,"50395,88","AUTRES FOURNITURES NON STOCKEES","STADES"
2005,"F",1,60628,415,"116,09","AUTRES FOURNITURES NON STOCKEES","MANIFESTATIONS SPORTIVES"
2005,"F",1,60628,421,"12811,55","AUTRES FOURNITURES NON STOCKEES","CENTRES DE LOISIRS"
2005,"F",1,60628,422,"18216,36","AUTRES FOURNITURES NON STOCKEES","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,60628,64,"20822,78","AUTRES FOURNITURES NON STOCKEES","CRECHES ET GARDERIES"
2005,"F",1,60628,814,"215652,35","AUTRES FOURNITURES NON STOCKEES","ECLAIRAGE PUBLIC"
2005,"F",1,60628,816,"389,41","AUTRES FOURNITURES NON STOCKEES","AUTRES RESEAUX ET SERVICES DIVERS"
2005,"F",1,60628,820,"701,98","AUTRES FOURNITURES NON STOCKEES","SERVICES COMMUNS"
2005,"F",1,60628,821,"10622,39","AUTRES FOURNITURES NON STOCKEES","EQUIPEMENTS DE VOIRIE"
2005,"F",1,60628,822,"21928,7","AUTRES FOURNITURES NON STOCKEES","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,60628,823,"264495,11","AUTRES FOURNITURES NON STOCKEES","ESPACES VERTS URBAINS"
2005,"F",1,60628,824,"370,96","AUTRES FOURNITURES NON STOCKEES","AUTRES OPERATIONS D'AMENAGEMENT URBAIN"
2005,"F",1,60628,91,"9368,91","AUTRES FOURNITURES NON STOCKEES","FOIRES ET MARCHES"
2005,"F",1,60631,20,"12124,35","FOURNITURES D'ENTRETIEN","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60631,23,"28,7","FOURNITURES D'ENTRETIEN","INFORMATION, COMMUNICATION, PUBLICITE"
2005,"F",1,60631,24,"117,69","FOURNITURES D'ENTRETIEN","FETES ET CEREMONIES"
2005,"F",1,60631,112,"154,96","FOURNITURES D'ENTRETIEN","POLICE MUNICIPALE"
2005,"F",1,60631,12,"7589,79","FOURNITURES D'ENTRETIEN","HYGIENE ET SALUBRITE PUBLIQUE"
2005,"F",1,60631,211,"20283,64","FOURNITURES D'ENTRETIEN","ECOLES MATERNELLES"
2005,"F",1,60631,212,"32538,75","FOURNITURES D'ENTRETIEN","ECOLES PRIMAIRES"
2005,"F",1,60631,251,"22758,66","FOURNITURES D'ENTRETIEN","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,60631,30,"35,52","FOURNITURES D'ENTRETIEN","SERVICES COMMUNS"
2005,"F",1,60631,322,10,"FOURNITURES D'ENTRETIEN","MUSEES"
2005,"F",1,60631,411,"22353,85","FOURNITURES D'ENTRETIEN","SALLES DE SPORT, GYMNASES"
2005,"F",1,60631,412,"4394,68","FOURNITURES D'ENTRETIEN","STADES"
2005,"F",1,60631,421,"806,54","FOURNITURES D'ENTRETIEN","CENTRES DE LOISIRS"
2005,"F",1,60631,422,"476,57","FOURNITURES D'ENTRETIEN","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,60631,64,"18834,99","FOURNITURES D'ENTRETIEN","CRECHES ET GARDERIES"
2005,"F",1,60631,821,"671,97","FOURNITURES D'ENTRETIEN","EQUIPEMENTS DE VOIRIE"
2005,"F",1,60631,822,"7654,4","FOURNITURES D'ENTRETIEN","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,60631,823,"10943,39","FOURNITURES D'ENTRETIEN","ESPACES VERTS URBAINS"
2005,"F",1,60631,824,"471,53","FOURNITURES D'ENTRETIEN","AUTRES OPERATIONS D'AMENAGEMENT URBAIN"
2005,"F",1,60632,20,"299293,83","FOURNITURES DE PETIT EQUIPEMENT","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60632,22,"1936,69","FOURNITURES DE PETIT EQUIPEMENT","ADMINISTRATION GENERALE DE L'ETAT"
2005,"F",1,60632,23,"394,83","FOURNITURES DE PETIT EQUIPEMENT","INFORMATION, COMMUNICATION, PUBLICITE"
2005,"F",1,60632,24,"26142,12","FOURNITURES DE PETIT EQUIPEMENT","FETES ET CEREMONIES"
2005,"F",1,60632,26,"253,83","FOURNITURES DE PETIT EQUIPEMENT","CIMETIERES ET POMPES FUNEBRES"
2005,"F",1,60632,112,"6242,57","FOURNITURES DE PETIT EQUIPEMENT","POLICE MUNICIPALE"
2005,"F",1,60632,12,"340,09","FOURNITURES DE PETIT EQUIPEMENT","HYGIENE ET SALUBRITE PUBLIQUE"
2005,"F",1,60632,211,"50690,08","FOURNITURES DE PETIT EQUIPEMENT","ECOLES MATERNELLES"
2005,"F",1,60632,212,"137922,73","FOURNITURES DE PETIT EQUIPEMENT","ECOLES PRIMAIRES"
2005,"F",1,60632,251,"30879,49","FOURNITURES DE PETIT EQUIPEMENT","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,60632,30,"10798,92","FOURNITURES DE PETIT EQUIPEMENT","SERVICES COMMUNS"
2005,"F",1,60632,322,"167,15","FOURNITURES DE PETIT EQUIPEMENT","MUSEES"
2005,"F",1,60632,323,"3999,65","FOURNITURES DE PETIT EQUIPEMENT","ARCHIVES"
2005,"F",1,60632,411,"52678,58","FOURNITURES DE PETIT EQUIPEMENT","SALLES DE SPORT, GYMNASES"
2005,"F",1,60632,412,"31304,42","FOURNITURES DE PETIT EQUIPEMENT","STADES"
2005,"F",1,60632,415,"10901,02","FOURNITURES DE PETIT EQUIPEMENT","MANIFESTATIONS SPORTIVES"
2005,"F",1,60632,421,"13398,86","FOURNITURES DE PETIT EQUIPEMENT","CENTRES DE LOISIRS"
2005,"F",1,60632,422,"10322,03","FOURNITURES DE PETIT EQUIPEMENT","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,60632,64,"42945,74","FOURNITURES DE PETIT EQUIPEMENT","CRECHES ET GARDERIES"
2005,"F",1,60632,814,"190510,13","FOURNITURES DE PETIT EQUIPEMENT","ECLAIRAGE PUBLIC"
2005,"F",1,60632,820,"703,58","FOURNITURES DE PETIT EQUIPEMENT","SERVICES COMMUNS"
2005,"F",1,60632,821,"90970,95","FOURNITURES DE PETIT EQUIPEMENT","EQUIPEMENTS DE VOIRIE"
2005,"F",1,60632,822,"12652,89","FOURNITURES DE PETIT EQUIPEMENT","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,60632,823,"153099,42","FOURNITURES DE PETIT EQUIPEMENT","ESPACES VERTS URBAINS"
2005,"F",1,60632,91,"819,99","FOURNITURES DE PETIT EQUIPEMENT","FOIRES ET MARCHES"
2005,"F",1,60633,211,"277,05","FOURNITURES DE VOIRIE","ECOLES MATERNELLES"
2005,"F",1,60633,40,"423,77","FOURNITURES DE VOIRIE","SERVICES COMMUNS"
2005,"F",1,60633,814,"39772,32","FOURNITURES DE VOIRIE","ECLAIRAGE PUBLIC"
2005,"F",1,60633,816,"31493,07","FOURNITURES DE VOIRIE","AUTRES RESEAUX ET SERVICES DIVERS"
2005,"F",1,60633,821,"239,2","FOURNITURES DE VOIRIE","EQUIPEMENTS DE VOIRIE"
2005,"F",1,60633,822,"52723,55","FOURNITURES DE VOIRIE","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,60633,823,"3447,11","FOURNITURES DE VOIRIE","ESPACES VERTS URBAINS"
2005,"F",1,60636,20,"16297,76","VETEMENTS DE TRAVAIL","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,60636,24,"13074,69","VETEMENTS DE TRAVAIL","FETES ET CEREMONIES"
2005,"F",1,60636,26,"4970,11","VETEMENTS DE TRAVAIL","CIMETIERES ET POMPES FUNEBRES"
2005,"F",1,60636,112,"149713,69","VETEMENTS DE TRAVAIL","POLICE MUNICIPALE"
2005,"F",1,60636,12,"472,55","VETEMENTS DE TRAVAIL","HYGIENE ET SALUBRITE PUBLIQUE"
2005,"F",1,60636,213,"59709,93","VETEMENTS DE TRAVAIL","CLASSES REGROUPEES"
2005,"F",1,60636,251,"9133,64","VETEMENTS DE TRAVAIL","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,60636,30,"279,71","VETEMENTS DE TRAVAIL","SERVICES COMMUNS"
2005,"F",1,60636,323,"230,59","VETEMENTS DE TRAVAIL","ARCHIVES"
2005,"F",1,60636,40,"9567,29","VETEMENTS DE TRAVAIL","SERVICES COMMUNS"
2005,"F",1,60636,415,"10107,86","VETEMENTS DE TRAVAIL","MANIFESTATIONS SPORTIVES"
2005,"F",1,60636,422,"805,33","VETEMENTS DE TRAVAIL","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,60636,64,"18004,76","VETEMENTS DE TRAVAIL","CRECHES ET GARDERIES"
2005,"F",1,60636,812,"73,57","VETEMENTS DE TRAVAIL","COLLECTE ET TRAITEMENT DES ORDURES MENAGERES"
2005,"F",1,60636,814,"8372,2","VETEMENTS DE TRAVAIL","ECLAIRAGE PUBLIC"
2005,"F",1,60636,816,"272,35","VETEMENTS DE TRAVAIL","AUTRES RESEAUX ET SERVICES DIVERS"
2005,"F",1,60636,821,"6613,26","VETEMENTS DE TRAVAIL","EQUIPEMENTS DE VOIRIE"
2005,"F",1,60636,822,"10400,69","VETEMENTS DE TRAVAIL","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,60636,823,"64449,2","VETEMENTS DE TRAVAIL","ESPACES VERTS URBAINS"
2005,"F",1,60636,824,"47,6","VETEMENTS DE TRAVAIL","AUTRES OPERATIONS D'AMENAGEMENT URBAIN"
2005,"F",1,60636,91,"443,47","VETEMENTS DE TRAVAIL","FOIRES ET MARCHES"
2005,"F",1,6064,20,"196987,77","FOURNITURES ADMINISTRATIVES","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,6064,22,"39239,72","FOURNITURES ADMINISTRATIVES","ADMINISTRATION GENERALE DE L'ETAT"
2005,"F",1,6064,23,"7057,85","FOURNITURES ADMINISTRATIVES","INFORMATION, COMMUNICATION, PUBLICITE"
2005,"F",1,6064,24,"803,97","FOURNITURES ADMINISTRATIVES","FETES ET CEREMONIES"
2005,"F",1,6064,26,"4775,13","FOURNITURES ADMINISTRATIVES","CIMETIERES ET POMPES FUNEBRES"
2005,"F",1,6064,112,"9832,61","FOURNITURES ADMINISTRATIVES","POLICE MUNICIPALE"
2005,"F",1,6064,12,"929,1","FOURNITURES ADMINISTRATIVES","HYGIENE ET SALUBRITE PUBLIQUE"
2005,"F",1,6064,213,"6807,69","FOURNITURES ADMINISTRATIVES","CLASSES REGROUPEES"
2005,"F",1,6064,251,"27643,76","FOURNITURES ADMINISTRATIVES","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,6064,30,"2639,22","FOURNITURES ADMINISTRATIVES","SERVICES COMMUNS"
2005,"F",1,6064,322,"1567,49","FOURNITURES ADMINISTRATIVES","MUSEES"
2005,"F",1,6064,323,"3613,59","FOURNITURES ADMINISTRATIVES","ARCHIVES"
2005,"F",1,6064,40,"5348,2","FOURNITURES ADMINISTRATIVES","SERVICES COMMUNS"
2005,"F",1,6064,421,"3001,58","FOURNITURES ADMINISTRATIVES","CENTRES DE LOISIRS"
2005,"F",1,6064,422,"5643,59","FOURNITURES ADMINISTRATIVES","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,6064,64,"10308,65","FOURNITURES ADMINISTRATIVES","CRECHES ET GARDERIES"
2005,"F",1,6064,812,"257,98","FOURNITURES ADMINISTRATIVES","COLLECTE ET TRAITEMENT DES ORDURES MENAGERES"
2005,"F",1,6064,814,"565,9","FOURNITURES ADMINISTRATIVES","ECLAIRAGE PUBLIC"
2005,"F",1,6064,816,"2047,72","FOURNITURES ADMINISTRATIVES","AUTRES RESEAUX ET SERVICES DIVERS"
2005,"F",1,6064,820,"15095,35","FOURNITURES ADMINISTRATIVES","SERVICES COMMUNS"
2005,"F",1,6064,821,"3558,98","FOURNITURES ADMINISTRATIVES","EQUIPEMENTS DE VOIRIE"
2005,"F",1,6064,822,"24710,44","FOURNITURES ADMINISTRATIVES","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,6064,823,"6529,53","FOURNITURES ADMINISTRATIVES","ESPACES VERTS URBAINS"
2005,"F",1,6064,824,"2358,52","FOURNITURES ADMINISTRATIVES","AUTRES OPERATIONS D'AMENAGEMENT URBAIN"
2005,"F",1,6064,91,"2142,64","FOURNITURES ADMINISTRATIVES","FOIRES ET MARCHES"
2005,"F",1,6065,211,"13084,69","LIVRES DISQUES CASSETTES (BIBLIOTHEQUE & MEDIATHEQUE)","ECOLES MATERNELLES"
2005,"F",1,6065,212,"14856,88","LIVRES DISQUES CASSETTES (BIBLIOTHEQUE & MEDIATHEQUE)","ECOLES PRIMAIRES"
2005,"F",1,6065,30,"537,13","LIVRES DISQUES CASSETTES (BIBLIOTHEQUE & MEDIATHEQUE)","SERVICES COMMUNS"
2005,"F",1,6065,322,"3547,75","LIVRES DISQUES CASSETTES (BIBLIOTHEQUE & MEDIATHEQUE)","MUSEES"
2005,"F",1,6065,323,"1750,65","LIVRES DISQUES CASSETTES (BIBLIOTHEQUE & MEDIATHEQUE)","ARCHIVES"
2005,"F",1,611,30,236808,"CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES","SERVICES COMMUNS"
2005,"F",1,611,812,"16546123,33","CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES","COLLECTE ET TRAITEMENT DES ORDURES MENAGERES"
2005,"F",1,611,822,"976074,58","CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES","VOIRIE COMMUNALE ET ROUTES"
2005,"F",1,611,90,"1473494,72","CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES","INTERVENTIONS ECONOMIQUES"
2005,"F",1,611,91,"229896,36","CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES","FOIRES ET MARCHES"
2005,"F",1,6132,20,"789105,03","LOCATIONS IMMOBILIERES","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,6132,112,"29823,57","LOCATIONS IMMOBILIERES","POLICE MUNICIPALE"
2005,"F",1,6132,40,"24146,06","LOCATIONS IMMOBILIERES","SERVICES COMMUNS"
2005,"F",1,6132,422,"22142,78","LOCATIONS IMMOBILIERES","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,6132,90,"245585,86","LOCATIONS IMMOBILIERES","INTERVENTIONS ECONOMIQUES"
2005,"F",1,6135,20,"458890,22","LOCATIONS MOBILIERES","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,6135,23,"14548,98","LOCATIONS MOBILIERES","INFORMATION, COMMUNICATION, PUBLICITE"
2005,"F",1,6135,24,"23035,69","LOCATIONS MOBILIERES","FETES ET CEREMONIES"
2005,"F",1,6135,211,"67361,26","LOCATIONS MOBILIERES","ECOLES MATERNELLES"
2005,"F",1,6135,212,"10405,94","LOCATIONS MOBILIERES","ECOLES PRIMAIRES"
2005,"F",1,6135,251,"49021,47","LOCATIONS MOBILIERES","HEBERGEMENT ET RESTAURATION SCOLAIRE"
2005,"F",1,6135,30,"132167,52","LOCATIONS MOBILIERES","SERVICES COMMUNS"
2005,"F",1,6135,415,"93837,66","LOCATIONS MOBILIERES","MANIFESTATIONS SPORTIVES"
2005,"F",1,6135,422,"1865,76","LOCATIONS MOBILIERES","AUTRES ACTIVITES POUR LES JEUNES"
2005,"F",1,6135,814,"14550,25","LOCATIONS MOBILIERES","ECLAIRAGE PUBLIC"
2005,"F",1,6135,820,"304,98","LOCATIONS MOBILIERES","SERVICES COMMUNS"
2005,"F",1,6135,823,"851,4","LOCATIONS MOBILIERES","ESPACES VERTS URBAINS"
2005,"F",1,6135,90,"33408,03","LOCATIONS MOBILIERES","INTERVENTIONS ECONOMIQUES"
2005,"F",1,6135,91,"136965,06","LOCATIONS MOBILIERES","FOIRES ET MARCHES"
2005,"F",1,614,20,"489841,09","CHARGES LOCATIVES ET DE COPROPRIETE","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,614,12,"366,19","CHARGES LOCATIVES ET DE COPROPRIETE","HYGIENE ET SALUBRITE PUBLIQUE"
2005,"F",1,614,321,3937,"CHARGES LOCATIVES ET DE COPROPRIETE","BIBLIOTHEQUES ET MEDIATHEQUES"
2005,"F",1,614,324,"2433,64","CHARGES LOCATIVES ET DE COPROPRIETE","ENTRETIEN DU PATRIMOINE CULTUREL"
2005,"F",1,614,411,15250,"CHARGES LOCATIVES ET DE COPROPRIETE","SALLES DE SPORT, GYMNASES"
2005,"F",1,61521,20,"32539,79","ENTRETIEN ET REPARATIONS SUR TERRAINS","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,61521,212,"6781,23","ENTRETIEN ET REPARATIONS SUR TERRAINS","ECOLES PRIMAIRES"
2005,"F",1,61521,412,"139698,31","ENTRETIEN ET REPARATIONS SUR TERRAINS","STADES"
2005,"F",1,61521,415,32990,"ENTRETIEN ET REPARATIONS SUR TERRAINS","MANIFESTATIONS SPORTIVES"
2005,"F",1,61522,20,"392578,57","ENTRETIEN ET REPARATIONS BATIMENTS","ADMINISTRATION GENERALE DE LA COLLECTIVITE"
2005,"F",1,61522,23,"100950,78","ENTRETIEN ET REPARATIONS BATIMENTS","INFORMATION, COMMUNICATION, PUBLICITE"
