 Nom modèle,Surface de plancher (SHON),Surface terrain,Date signature décision finale,Nature avis décision,Nombre de logements créés,1 pièce logements individuels,2 pièces logements individuels,3 pièces logements individuels,4 pièces logements individuels,5 pièces logements individuels,1 pièce logements collectifs,2 pièces logements collectifs,4 pièces logements collectifs,3 pièces logements collectifs,5 pièces logements collectifs,Quartier,Secteur
Permis de Construire,,3961,14/08/2009,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,1
Permis de Construire,"39,77",137,01/04/2010,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,2
Permis de Construire,442,4258,29/02/2012,Favorable,,,,,,,,,,,,CE -Alco,10
Permis de Construire,"2360,75",2361,29/12/2011,Favorable,42,,,,,,,22,4,16,,PA -Saint Martin,5
Permis de Construire,"23,86",257,12/06/2007,Favorable,,,,,,,,,,,,CE -La Martelle,10
Permis de Construire,,0,24/08/2007,Favorable,,,,,,,,,,,,CA -Lemasson,6
Permis de Construire,-151,3449,30/11/2009,Favorable,5,,,,,,,2,,3,,MC -Gambetta,1
Permis de Construire,34,499,07/01/2011,Favorable,,,,,,,,,,,,MO -Celleneuve,9
Permis de Construire,123,311,10/06/2011,Favorable,,,,,,,,,,,,MC -Figuerolles,1
Permis de Construire,"29,7",870,01/07/2011,Favorable,1,,,,,,1,,,,,PA -Saint Martin,5
Permis de Construire,32,158,04/07/2011,Favorable,,,,,,,,,,,,MO -Celleneuve,10
Permis de Construire,232,2877,19/06/2009,Favorable,,,,,,,,,,,,PM -Millénaire,4
Permis de Construire,"161,8",5888,24/03/2009,Favorable,,,,,,,,,,,,PA -Aiguerelles,5
Permis de Construire,"105,06",688,29/04/2011,Favorable,1,,,,,,,,,,,PM -Millénaire,4
Permis de Construire,1499,3529,06/06/2011,Favorable,15,,,,13,2,,,,,,HF -Plan des quatre Seigneurs,2
Permis de Construire,80,35157,29/05/2009,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,384,144,26/06/2009,Favorable,4,,,,,,1,,1,1,1,MC -Gares,4
Permis de Construire,1010,687,15/05/2012,Favorable,15,,,,,,2,5,2,6,,MC -Les Beaux Arts,3
Permis de Construire,25,476215,14/06/2012,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,"186,5",655,03/06/2008,Favorable,1,,,,,1,,,,,,MC -Gambetta,1
Permis de Construire,,1383,05/10/2007,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,152,5561,29/01/2008,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,125,562,14/01/2008,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,"194,56",855,20/03/2008,Favorable,4,,2,2,,,,,,,,CE -Alco,10
Permis de Construire,1138,2985,31/10/2008,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,3559,20861,27/06/2008,Favorable,40,,,,,,,7,14,18,1,PM -Port Marianne,4
Permis de Construire,22,468,12/03/2008,Favorable,,,,,,,,,,,,PA -Saint Martin,5
Permis de Construire,,1626,02/07/2008,Favorable,,,,,,,,,,,,MO -Celleneuve,10
Permis de Construire,96,192,03/07/2009,Favorable,1,,,1,,,,,,,,PA -Aiguerelles,5
Permis de Construire,"36,91",321,28/01/2011,Favorable,,,,,,,,,,,,MC -Boutonnet,10
Permis de Construire,,523,14/06/2010,Favorable,,,,,,,,,,,,PM -Pompignane,4
Permis de Construire,1820,2903,18/09/2008,Favorable,,,,,,,,,,,,PA -Prés Arènes,5
Permis de Construire,,6312,16/09/2008,Favorable,,,,,,,,,,,,CA -Lemasson,6
Permis de Construire,33,536,16/09/2008,Favorable,3,,,,,,3,,,,,CE -Alco,10
Permis de Construire,95,412,07/10/2008,Favorable,1,,,,,,,,,,,PM -Pompignane,4
Permis de Construire,140,59199,21/12/2009,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,93,2055,23/11/2007,Favorable,,,,,,,,,,,,CE -La Martelle,10
Permis de Construire,158,810,10/04/2008,Favorable,2,,,1,1,,,,,,,CE -La Martelle,8
Permis de Construire,3269,95995,26/05/2008,Favorable,,,,,,,,,,,,PM -Millénaire,4
Permis de Construire,"282,49",5024,07/09/2007,Favorable,1,,,,,,,,,,,CE -La Martelle,10
Permis de Construire,,284,17/10/2007,Favorable,,,,,,,,,,,,MC -Gambetta,1
Permis de Construire,3698,1654,08/10/2009,Favorable,48,,,,,,,16,4,28,,HF -Hopitaux Facultés,10
Permis de Construire,,2389,07/04/2011,Favorable,,,,,,,,,,,,CE -Alco,10
Permis de Construire,40,560,19/09/2011,Favorable,2,2,,,,,,,,,,CE -La Martelle,8
Permis de Construire,"824,3",829,31/01/2012,Favorable,13,,,,,,4,3,1,5,,CA -Lemasson,6
Permis de Construire,21,486,21/08/2007,Favorable,,,,,,,,,,,,CA -Estanove,7
Permis de Construire,574,2387,24/07/2009,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,,20694,11/06/2009,Favorable,,,,,,,,,,,,MO -Celleneuve,9
Permis de Construire,38,2098,24/07/2009,Favorable,,,,,,,,,,,,PA -Saint Martin,5
Permis de Construire,,276,09/03/2009,Favorable,,,,,,,,,,,,MC -Figuerolles,1
Permis de Construire,11281,12033,27/08/2009,Favorable,,,,,,,,,,,,PM -Millénaire,4
Permis de Construire,220,1222,20/09/2010,Favorable,,,,,,,,,,,,MO -Celleneuve,10
Permis de Construire,,525319,30/08/2011,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,4642,9058,01/03/2012,Favorable,57,,,,,,,16,9,31,1,PM -Port Marianne,4
Permis de Construire,238,3062,07/11/2000,Favorable,,,,,,,,,,,,PA -Prés Arènes,5
Permis de Construire,205,700,10/05/2000,Favorable,1,,,,,1,,,,,,CE -La Chamberte,8
Permis de Construire,0,625,05/06/2000,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,25,696,05/06/2000,Favorable,,,,,,,,,,,,MO -Hauts de Massane,9
Permis de Construire,142,27101,15/09/2000,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,3
Permis de Construire,19,7957,25/05/2000,Favorable,,,,,,,,,,,,MO -Hauts de Massane,9
Permis de Construire,0,294,12/07/2000,Favorable,,,,,,,,,,,,MC -Centre Historique,1
Permis de Construire,0,433,23/08/2000,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,3
Permis de Construire,0,134,16/06/2000,Favorable,1,,,,1,,,,,,,MC -Gambetta,1
Permis de Construire,824,1250,20/07/2000,Favorable,8,,,,,,0,1,1,6,0,MC -Gambetta,1
Permis de Construire,402,23673,27/07/2000,Favorable,,,,,,,,,,,,CA -Lemasson,6
Permis de Construire,142,6080,20/07/2000,Favorable,,,,,,,,,,,,MO -La Paillade,9
Permis de Construire,133,1526,07/08/2000,Favorable,1,,,,,1,,,,,,CE -La Martelle,10
Permis de Construire,97,226,12/07/2000,Favorable,1,,,,1,,,,,,,CA -Croix d'Argent,6
Permis de Construire,140,24942,31/10/2000,Favorable,,,,,,,,,,,,PM -Millénaire,4
Permis de Construire,4325,6971,20/11/2000,Favorable,,,,,,,,,,,,PM -Port Marianne,4
Permis de Construire,34,113558,26/04/2001,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,968,5777,23/08/2002,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,119,767,17/10/2000,Favorable,1,,,,,1,,,,,,PM -Port Marianne,4
Permis de Construire,123,601,19/09/2000,Favorable,1,,,,1,,,,,,,CE -La Chamberte,8
Permis de Construire,32,292,14/11/2000,Favorable,,,,,,,,,,,,MC -Figuerolles,8
Permis de Construire,2288,552,05/12/2000,Favorable,35,,,,,,6,11,1,17,0,PM -Port Marianne,4
Permis de Construire,0,605,02/02/2001,Favorable,,,,,,,,,,,,MC -Comédie,1
Permis de Construire,55,1343,12/12/2000,Favorable,,,,,,,,,,,,HF -Plan des quatre Seigneurs,2
Permis de Construire,0,2069,12/11/2001,Favorable,,,,,,,,,,,,PM -Pompignane,4
Permis de Construire,51,883,23/04/2001,Favorable,,,,,,,,,,,,PM -Port Marianne,4
Permis de Construire,175,15769,13/07/2001,Favorable,,,,,,,,,,,,MO -La Paillade,9
Permis de Construire,62,6663,20/07/2001,Favorable,,,,,,,,,,,,CE -La Chamberte,8
Permis de Construire,45,294,04/04/2001,Favorable,,,,,,,,,,,,MC -Gares,4
Permis de Construire,155,478,17/08/2001,Favorable,1,,,,1,,,,,,,CA -Croix d'Argent,6
Permis de Construire,0,2398,25/07/2001,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,130,699,17/08/2001,Favorable,1,,,,,,,,,,,CE -La Martelle,10
Permis de Construire,68,3350,31/07/2001,Favorable,,,,,,,,,,,,PA -Saint Martin,5
Permis de Construire,214,215,19/11/2001,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,3083,3987,17/09/2001,Favorable,34,,,,,,2,10,10,8,0,HF -Hopitaux Facultés,10
Permis de Construire,7,389,18/02/2002,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,0,377,29/01/2002,Favorable,,,,,,,,,,,,MC -Les Arceaux,10
Permis de Construire,7,275,25/03/2002,Favorable,,,,,,,,,,,,MC -Comédie,1
Permis de Construire,162,346,17/04/2002,Favorable,1,,,,,1,,,,,,CA -Croix d'Argent,6
Permis de Construire,0,36887,04/04/2002,Favorable,,,,,,,,,,,,PM -Grammont,4
Permis de Construire,2075,21758,13/03/2002,Favorable,28,,,,,,0,1,7,20,0,HF -Hopitaux Facultés,10
Permis de Construire,2145,1696,23/05/2002,Favorable,30,,,,,,0,6,6,18,0,PM -Millénaire,4
Permis de Construire,167,2295,04/06/2002,Favorable,1,,,,,1,,,,,,PM -Port Marianne,4
Permis de Construire,25,420,14/06/2002,Favorable,,,,,,,,,,,,CE -Les Cévennes,7
Permis de Construire,107,1200,09/09/2002,Favorable,1,,,,1,,,,,,,CA -Croix d'Argent,6
Permis de Construire,78,1289,11/10/2002,Favorable,,,,,,,,,,,,CE -La Martelle,10
Permis de Construire,0,1552,16/09/2002,Favorable,1,0,0,0,0,0,,,,,,MC -Les Aubes,4
Permis de Construire,0,1634,10/10/2002,Favorable,19,,,,,,6,12,0,1,0,MC -Boutonnet,2
Permis de Construire,0,1537,24/09/2002,Favorable,12,,,,,,0,8,0,4,0,MC -Les Arceaux,7
Permis de Construire,70,6488,22/08/2002,Favorable,,,,,,,,,,,,HF -Plan des quatre Seigneurs,2
Permis de Construire,1502,3104,04/09/2003,Favorable,11,0,0,0,11,0,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,137,600,09/01/2003,Favorable,1,,,,1,,,,,,,CE -La Martelle,8
Permis de Construire,0,121,02/07/2003,Favorable,,,,,,,,,,,,MC -Gambetta,7
Permis de Construire,3699,4432,05/03/2003,Favorable,44,,,,,,0,2,10,31,1,HF -Hopitaux Facultés,10
Permis de Construire,1947,10000,05/05/2003,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,122,116,27/01/2003,Favorable,2,,,,,,0,2,0,0,0,MC -Gares,4
Permis de Construire,733,27887,12/06/2003,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,97,500,11/03/2003,Favorable,,,,,,,,,,,,CE -La Martelle,8
Permis de Construire,0,392,31/03/2003,Favorable,1,,,,,,0,0,1,0,0,MC -Centre Historique,1
Permis de Construire,51,3279,20/10/2003,Favorable,,,,,,,,,,,,PM -Port Marianne,4
Permis de Construire,162,974,22/07/2003,Favorable,1,,,,,,,,,,,CE -La Martelle,10
Permis de Construire,374,100640,18/05/2004,Favorable,,,,,,,,,,,,MC -Gares,4
Permis de Construire,827,1625,30/07/2003,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,43,485,30/06/2003,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,51,549,10/07/2003,Favorable,1,,1,,,,,,,,,PA -Saint Martin,5
Permis de Construire,289,932,09/09/2003,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,3
Permis de Construire,18,221,30/07/2003,Favorable,,,,,,,,,,,,CE -Les Cévennes,10
Permis de Construire,274,5242,30/07/2003,Favorable,1,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,169,789,24/10/2003,Favorable,1,,,,,1,,,,,,MO -Hauts de Massane,9
Permis de Construire,94,150,15/01/2004,Favorable,1,,,1,,,,,,,,PM -Millénaire,4
Permis de Construire,107,259,06/02/2004,Favorable,1,,,,1,,,,,,,PM -Millénaire,4
Permis de Construire,607,9494,02/03/2004,Favorable,,,,,,,,,,,,MC -Boutonnet,10
Permis de Construire,2027,2654,23/12/2003,Favorable,24,,,,,,0,3,8,13,0,MO -Celleneuve,10
Permis de Construire,94,1181,26/01/2004,Favorable,1,,,,1,,,,,,,PM -Pompignane,4
Permis de Construire,179,560,26/01/2004,Favorable,1,,,,,,,,,,,PM -Pompignane,4
Permis de Construire,197,781,01/12/2003,Favorable,1,,,,,,,,,,,CE -La Martelle,8
Permis de Construire,24,207,24/12/2003,Favorable,,,,,,,,,,,,MC -Boutonnet,2
Permis de Construire,63,1134,15/01/2004,Favorable,6,0,4,2,0,0,,,,,,CA -Estanove,7
Permis de Construire,38,54,23/03/2004,Favorable,,,,,,,,,,,,MC -Centre Historique,1
Permis de Construire,924,4365,24/05/2004,Favorable,,,,,,,,,,,,PA -Prés Arènes,5
Permis de Construire,17,693,19/10/2004,Favorable,3,,,,,,2,1,0,0,0,CE -Alco,7
Permis de Construire,27766,34983,29/07/2005,Favorable,,,,,,,,,,,,PM -Port Marianne,4
Permis de Construire,127,272,30/06/2004,Favorable,1,,,,1,,,,,,,CE -La Martelle,10
Permis de Construire,1212,2283,19/08/2004,Favorable,10,0,0,0,7,3,,,,,,CE -Alco,10
Permis de Construire,0,176,26/05/2004,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,0,431,25/06/2004,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,3
Permis de Construire,101,89,18/03/2005,Favorable,2,1,0,1,0,0,,,,,,MC -Les Beaux Arts,2
Permis de Construire,213,618,20/07/2004,Favorable,4,,,,,,0,2,0,2,0,HF -Hopitaux Facultés,2
Permis de Construire,95,569,30/06/2004,Favorable,,,,,,,,,,,,MC -Les Arceaux,10
Permis de Construire,28,2980,24/09/2004,Favorable,,,,,,,,,,,,MC -Comédie,1
Permis de Construire,0,827,29/06/2004,Favorable,,,,,,,,,,,,CE -La Chamberte,8
Permis de Construire,1373,2282,26/01/2005,Favorable,14,0,0,0,9,5,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,69,505,26/11/2004,Favorable,1,,,,1,,,,,,,PA -Saint Martin,5
Permis de Construire,0,145,26/01/2005,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,3
Permis de Construire,0,240328,21/02/2005,Favorable,,,,,,,,,,,,MO -La Paillade,9
Permis de Construire,99,469,18/03/2005,Favorable,1,,,1,,,,,,,,MC -Les Aubes,4
Permis de Construire,0,120,26/01/2005,Favorable,,,,,,,,,,,,CA -Lemasson,5
Permis de Construire,0,526,30/12/2004,Favorable,,,,,,,,,,,,MC -Les Arceaux,7
Permis de Construire,197,755,28/02/2005,Favorable,1,,,1,,,,,,,,CA -Pas du Loup,8
Permis de Construire,179,1000,04/05/2005,Favorable,1,,,,,,,,,,,CE -La Martelle,10
Permis de Construire,3041,269702,08/03/2005,Favorable,,,,,,,,,,,,MO -La Paillade,9
Permis de Construire,96,27539,27/05/2005,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,1299,1312,27/06/2005,Favorable,,,,,,,,,,,,MO -La Paillade,9
Permis de Construire,152,105,05/09/2005,Favorable,2,1,0,1,0,0,,,,,,MC -Gambetta,1
Permis de Construire,2254,15550,10/10/2005,Favorable,27,1,7,12,6,1,,,,,,CA -Estanove,7
Permis de Construire,0,601,26/01/2006,Favorable,,,,,,,,,,,,MC -Centre Historique,1
Permis de Construire,295,600,17/08/2005,Favorable,2,0,0,0,0,2,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,938,2009,25/01/2006,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,526,27970,28/10/2005,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,3
Permis de Construire,1101,13000,04/10/2005,Favorable,,,,,,,,,,,,CE -La Chamberte,8
Permis de Construire,4629,2448,01/12/2005,Favorable,57,,,,,,0,16,8,28,5,PM -Port Marianne,4
Permis de Construire,10030,15826,18/09/2006,Favorable,1,,,,1,,,,,,,MC -Boutonnet,2
Permis de Construire,0,1524,07/12/2005,Favorable,,,,,,,,,,,,MC -Gambetta,1
Permis de Construire,358,1005,23/05/2006,Favorable,9,,,,,,7,2,0,0,0,MC -Figuerolles,7
Permis de Construire,40,160,31/01/2006,Favorable,1,,,,,,,,,,,MC -Les Arceaux,7
Permis de Construire,755,1510,28/11/2005,Favorable,,,,,,,,,,,,MO -La Paillade,9
Permis de Construire,65,566,07/04/2006,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,1128,1078,01/03/2006,Favorable,,,,,,,,,,,,MC -Gambetta,1
Permis de Construire,2446,3808,20/10/2006,Favorable,,,,,,,,,,,,PM -Port Marianne,4
Permis de Construire,27069,96032,01/07/2006,Favorable,,,,,,,,,,,,MO -La Paillade,9
Permis de Construire,73,1237,01/02/2006,Favorable,3,0,0,3,0,0,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,0,779110,17/03/2006,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,3552,4463,18/07/2006,Favorable,36,,,,,,0,4,14,13,4,MC -Antigone,3
Permis de Construire,1118,1405,23/06/2006,Favorable,19,,,,,,4,8,4,3,0,PA -Saint Martin,5
Permis de Construire,22,600,20/04/2006,Favorable,,,,,,,,,,,,CE -La Chamberte,8
Permis de Construire,0,79,02/03/2006,Favorable,,,,,,,,,,,,MC -Centre Historique,1
Permis de Construire,0,157,11/05/2006,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,1
Permis de Construire,150,1171,14/04/2006,Favorable,1,,,,1,,,,,,,CA -Croix d'Argent,6
Permis de Construire,910,1769,07/04/2006,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,21,1052,07/06/2006,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,1481,22600,01/03/2006,Favorable,16,,,,,,0,9,2,5,0,MC -Les Beaux Arts,3
Permis de Construire,33,488,29/05/2006,Favorable,,,,,,,,,,,,CA -Estanove,8
Permis de Construire,0,484,23/06/2006,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,275,6435,04/08/2006,Favorable,1,,,,,,,,,,,HF -Plan des quatre Seigneurs,2
Permis de Construire,114,900,09/06/2006,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,208,608,29/06/2006,Favorable,2,0,0,0,2,0,,,,,,MC -Les Beaux Arts,3
Permis de Construire,2989,6371,15/06/2006,Favorable,35,0,0,17,18,0,,,,,,MO -Hauts de Massane,9
Permis de Construire,1408,2889,01/08/2006,Favorable,,,,,,,,,,,,PM -Millénaire,4
Permis de Construire,116,300,21/04/2006,Favorable,1,,,,,1,,,,,,CA -Croix d'Argent,6
Permis de Construire,3522,15182,26/12/2006,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,176,507,07/06/2006,Favorable,,,,,,,,,,,,PM -Port Marianne,4
Permis de Construire,165,557,18/09/2006,Favorable,1,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,0,78,08/09/2006,Favorable,,,,,,,,,,,,PA -Aiguerelles,5
Permis de Construire,10,197,04/08/2006,Favorable,,,,,,,,,,,,PA -Aiguerelles,5
Permis de Construire,2669,2168,30/01/2007,Favorable,51,,,,,,9,35,3,4,0,MO -Celleneuve,10
Permis de Construire,422,440,15/12/2006,Favorable,4,,,,,,0,1,2,1,0,MC -Gambetta,1
Permis de Construire,0,2866,18/09/2006,Favorable,,,,,,,,,,,,CA -Pas du Loup,8
Permis de Construire,15,215,20/10/2006,Favorable,,,,,,,,,,,,PM -Pompignane,4
Permis de Construire,5199,4605,12/01/2007,Favorable,69,,,,,,0,14,14,39,2,PM -Port Marianne,4
Permis de Construire,0,1267,26/01/2007,Favorable,,,,,,,,,,,,MC -Gambetta,1
Permis de Construire,111,716,22/02/2007,Favorable,1,,,,1,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,0,745,30/10/2006,Favorable,,,,,,,,,,,,PM -Pompignane,4
Permis de Construire,681,1406,26/03/2007,Favorable,8,0,0,7,1,0,,,,,,CE -Alco,10
Permis de Construire,26,315,18/06/2007,Favorable,,,,,,,,,,,,PA -Saint Martin,5
Permis de Construire,128,2808,23/04/2008,Favorable,,,,,,,,,,,,MO -Hauts de Massane,9
Permis de Construire,35,760,30/04/2007,Favorable,,,,,,,,,,,,CA -Estanove,7
Permis de Construire,0,294,05/07/2007,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,0,294273,14/12/2007,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,10
Permis de Construire,3,844,08/06/2007,Favorable,,,,,,,,,,,,CE -La Martelle,8
Permis de Construire,2203,18135,02/03/2000,Favorable,1,,,,1,,,,,,,CA -Pas du Loup,8
Permis de Construire,903,47372,11/01/2000,Favorable,31,,,,,,0,23,0,8,0,CE -La Martelle,10
Permis de Construire,,395,29/08/2011,Favorable,,,,,,,,,,,,MC -Les Aubes,4
Permis de Construire,1309,1237,20/01/2012,Favorable,17,,,,,,4,4,1,8,,MC -Gares,4
Permis de Construire,,2058,13/03/2008,Favorable,,,,,,,,,,,,CA -Pas du Loup,7
Permis de Construire,531,538,13/03/2008,Favorable,8,,,,,,,6,,2,,CA -Pas du Loup,7
Permis de Construire,"112,71",590,05/05/2008,Favorable,,,,,,,,,,,,PA -Saint Martin,5
Permis de Construire,1400,1395,28/02/2008,Favorable,37,,,,,,18,16,1,2,,CE -Alco,10
Permis de Construire,"159,7",756,23/06/2008,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,"24,94",378,23/04/2008,Favorable,,,,,,,,,,,,MC -Boutonnet,3
Permis de Construire,80,355,23/04/2008,Favorable,,,,,,1,,,,,,MC -Les Arceaux,10
Permis de Construire,105,1305,30/04/2008,Favorable,,,,,,,,,,,,CE -La Martelle,8
Permis de Construire,"427,44",4373,19/02/2009,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,1064,1115,16/09/2008,Favorable,,,,,,,,10,2,7,,CE -Alco,10
Permis de Construire,303,169,22/07/2008,Favorable,10,,,,,,10,,,,,MC -Gambetta,1
Permis de Construire,5328,8403,12/02/2009,Favorable,95,,,,,,21,35,6,33,,CE -Alco,10
Permis de Construire,25,245,26/09/2008,Favorable,,,,,,,,,,,,MC -Gares,1
Permis de Construire,,135,16/09/2008,Favorable,,,,,,,,,,,,MC -Figuerolles,7
Permis de Construire,0,7182,14/05/2009,Favorable,,,,,,,,,,,,MC -Centre Historique,1
Permis de Construire,,126,26/12/2008,Favorable,,,,,,,,,,,,MC -Figuerolles,7
Permis de Construire,78,242,03/07/2009,Favorable,8,,,,,,1,3,1,3,,MC -Centre Historique,1
Permis de Construire,,7090,22/06/2009,Favorable,,,,,,,,,,,,CA -Pas du Loup,8
Permis de Construire,"67,56",8542,11/03/2009,Favorable,1,,,,,,,1,,,,PA -Aiguerelles,5
Permis de Construire,38,4541,10/03/2009,Favorable,,,,,,,,,,,,HF -Hopitaux Facultés,2
Permis de Construire,1832,18318,24/11/2009,Favorable,,,,,,,,,,,,CA -Croix d'Argent,6
Permis de Construire,"474,54",5635,15/01/2010,Favorable,,,,,,,,,,,,,
Permis de Construire,,1064,02/11/2009,Favorable,,,,,,,,,,,,HF -Aiguelongue,3
Permis de Construire,49,350,09/10/2009,Favorable,,,,,,,,,,,,CA -Estanove,8
Permis de Construire,,428,01/10/2009,Favorable,,,,,,,,,,,,CA -Estanove,7
Permis de Construire,"2764,84",1936,17/02/2010,Favorable,27,,,,,,4,11,1,11,,CA -Pas du Loup,
Permis de Construire,114,1368,15/01/2010,Favorable,,,,,,,,,,,,CE -Alco,7
Permis de Construire,22,12165,29/01/2010,Favorable,,,,,,,,,,,,CE -Les Cévennes,7
Permis de Construire,"131,7",313,26/01/2010,Favorable,,,,,,,,,,,,MC -Les Aubes,4
Permis de Construire,35,5406,11/08/2010,Favorable,,,,,,,,,,,,MC -Les Beaux Arts,3
Permis de Construire,237,3188,20/07/2010,Favorable,2,,,,2,,,,,,,CE -La Martelle,10
Permis de Construire,,2387,16/12/2010,Favorable,,,,,,,,,,,,MC -Les Arceaux,7
Permis de Construire,1467,1185,15/09/2010,Favorable,28,,,,,,5,9,,14,,PA -Aiguerelles,5
