"N°Asso.","Association (handicap)","Nature ","Montant",
1081,"Association Nationale des Cheminots Anciens Combattants","F",200 €,
495,"Association Républicaine des Anciens Combattants","F",200 €,
1203,"Association Rhin et Danube","F",200 €,
540,"Fédération des Anciens Combattants Algérie-Maroc-Tunisie","F",1 220 €,
1204,"Fondation Maréchal de Lattre","F",200 €,
590,"Les Fils des Tués de l'Hérault","F",200 €,
4845,"Souvenir Français Comité de Montpellier","F",600 €,
617,"La 177ème Section des Médaillés Militaires","F",200 €,
5508,"ULAC MONTPELLIER","F",200 €,
,,"Total",4 320 €,
"N°Asso.","Association (cohésion sociale)","Nature ","Montant",
1155,"ADAGES Animation Collective des Familles","F",11 500 €,
5500,"Amicale des retraités de Paul Valery","F",1 500 €,
1650,"Amitié Partage et Citoyenneté","M",2 000 €,
1392,"Asso des Citoyens Méditerranéens pour Echanges et Développement","F",2 000 €,
5412,"Association Assalam de St Martin","F",1 500 €,
2971,"Association de Médiation Pénale Montpelliéraine","F",5 000 €,
5202,"Association Justice pour le Petit Bard","F",4 500 €,
2920,"Comité d'Animation et de Prévention Gély-Figuerolles","M",6 000 €,
4908,"Face Hérault","F",5 000 €,
3210,"Force Citoyenne Culturelle et Sportive","F",3 000 €,
1914,"La Porte Ouverte","F",5 000 €,
5418,"Partage","F",2 000 €,
429,"Raiponce","F",3 000 €,
4907,"Réseau Accueil Insertion Hérault","F",2 000 €,
,,"Total",54 000 €,
"N°Asso.","Association (jeunesse et ville étudiante)","Nature ","Montant",
290,"Argos","M",2 500 €,
5503,"Association des étudiants en musicothérapie de Montpellier","F",141 €,
5552,"Association Globe all risques","F",500 €,
2094,"Association Sin","M",2 000 €,
625,"Eclaireurs et Eclaireuses de France","F",3 000 €,
195,"Eclaireuses Eclaireurs Unionistes de France","F",1 500 €,
5370,"Env Agrotech","M",500 €,
3675,"Essor savoirs et partage","F",4 500 €,
5210,"groupement de coopération sociale, médico-sociale MDA 34","F",30 000 €,
4488,"Montpellier contre la Violence","F",1 000 €,
4754,"Réseau Actions Jeunes LR","F",500 €,
4754,"Réseau Actions Jeunes LR","M",500 €,
4754,"Réseau Actions Jeunes LR","M",1 000 €,
4863,"Scouts et Guide de France - Ste Bernadette","F",1 500 €,
633,"Scouts et Guides de France","F",3 000 €,
5544,"Scouts musulmans de France MPL","F",3 000 €,
4867,"SOS Jeunes","F",10 000 €,
586,"UEAM UNEF","F",6 000 €,
,,"Total",71 141 €,
"N°Asso.","Association (action internationale et jumelage)","Nature ","Montant",
2822,"Accordanse","M",700 €,
1710,"Amicale Arménienne de Montpellier et sa Région","F",500 €,
630,"Amitié Franco-Malgache - Fihavanana","F",500 €,
4355,"Amitié Franco-Vietnamienne Comité Hérault","M",500 €,
1608,"Amitiés Franco-Colombiennes de Montpellier","M",400 €,
1608,"Amitiés Franco-Colombiennes de Montpellier","M",400 €,
400,"Amitiés Russes et avec les Peuples de l'ex URSS","M",400 €,
1005,"Artisans du Monde","F",200 €,
1057,"Assiana","M",500 €,
4826,"Association Colonia Espagnola de Montpellier","M",500 €,
1800,"Association Nessma","M",500 €,
1847,"Centre de documentation tiers monde","F",3 000 €,
5247,"Collectif Alba Amerique Latine","M",200 €,
2984,"Coup de soleil Languedoc-Roussillon","F",500 €,
1975,"Espace Rencontres Internationales Artistiques","M",500 €,
1223,"Eurasia","F",500 €,
548,"Euro-Grèce France","F",1 000 €,
1073,"France-Israël - Alliance Général Koenig","F",500 €,
5072,"Gestion Maison de Montpellier à Heidelberg","F",45 000 €,
4816,"I Dilettanti","M",500 €,
1968,"Idéokilogramme","M",1 500 €,
3756,"Les Amis de la Bulgarie","M",200 €,
1396,"Maison de Heidelberg","F",15 000 €,
1397,"Maison de l'Europe de Montpellier","F",20 000 €,
3976,"Maison de Montpellier à Chengdu","F",100 000 €,
456,"Maison des Tiers Mondes Solidarité Internationale","M",1 500 €,
456,"Maison des Tiers Mondes Solidarité Internationale","F",11 000 €,
420,"Mouvement contre le Racisme et pour l'Amitié entre les Peuples","F",500 €,
3873,"Service des Traducteurs d'Urgence","F",2 700 €,
1949,"Théâvida","M",200 €,
3,"Unicef","F",1 000 €,
,,"Total",210 400 €,
"N°Asso.","Association (droit au logement)","Nature ","Montant",
4900,"Association Nationale Compagnons Bâtisseurs Ets LR","M",9 000 €,
3259,"Concorda Logis","F",33 000 €,
2767,"Confédération Générale du Logement Union Départementale 34","F",900 €,
1139,"Confédération Nationale du Logement Fédération de l'Hérault","F",2 400 €,
244,"Consommation Logement Cadre de Vie de Montpellier CLCV","F",8 000 €,
1347,"Ecohabitons","F",200 €,
4908,"Face Hérault","M",2 000 €,
4151,"Habitat et Humanisme Hérault","F",2 200 €,
4904,"Habiter Enfin","F",800 €,
,,"Total",58 500 €,
"N°Asso.","Association (qualité de l’espace public)","Nature ","Montant",
1261,"Atelier Permanent d'Initiation à l'Environnement Urbain","F",2 000 €,
4031,"Etat des Lieux","F",1 000 €,
262,"Les Ecologistes de l'Euzière","M",1 000 €,
1457,"Paillade Mosson Coulée Verte","F",3 000 €,
344,"Terre Nourricière","M",3 000 €,
,,"Total",10 000 €,
"N°Asso.","Association (développement  économique et commercial)","Nature ","Montant",
1957,"Acaplos","M",500 €,
1957,"Acaplos","F",500 €,
1196,"Asso Emploi Développement Entreprises Boutique Gestion","M",2 000 €,
33,"Asso Euro Méditerranéenne pour le Travail et les Echanges","F",2 700 €,
729,"Asso Pour Le Droit a l'Initiative Economique","F",3 000 €,
4664,"Association des Marchés Paysans de l'Hérault","F",300 €,
211,"Bricabrac Ars Fabric","F",6 000 €,
77,"Comider Comité pour le Développement de l'Economie Régionale","M",3 000 €,
1878,"Comité de Montpellier d'Entraide Membres Légion d'Honneur","M",1 000 €,
2725,"CREER - Maison des Chômeurs","F",4 000 €,
4908,"Face Hérault","M",5 000 €,
4657,"Faciliter l'Insertion Professionnelle des Jeunes Diplômés","M",4 000 €,
1084,"Jeune Chambre Economique de Montpellier","F",1 500 €,
3546,"Les Voies des Palais","M",500 €,
3546,"Les Voies des Palais","F",500 €,
4623,"Pléiades Emploi Service Hérault","F",10 000 €,
3135,"Quartier de l'Ancien Courrier - Associations des Commerçants","F",2 000 €,
1732,"Senioroboulo.com","M",1 500 €,
1732,"Senioroboulo.com","F",500 €,
249,"UFC Que Choisir","F",2 000 €,
,,"Total",50 500 €,
"N°Asso.","Association (Montpellier Territoire Numérique)","Nature ","Montant",
5573,"CNRS  (laboratoire art-dév - UMR5281)","M",50 000 €,
,"Club business LR 34  ","M",3 500 €,
292,"Mandarine (ex Autopartage Montpellier)","M",15 000 €,
,,"Total",68 500 €,
"N°Asso.","Association (égalité des droits et des devoirs)","Nature ","Montant",
4559,"Asso Départementale de Défense des Familles et de l'Individu","F",800 €,
661,"Asso Départementale d'Information et d'Aide aux Victimes","F",8 000 €,
4618,"Association des Nouveaux Gais et Lesbiennes","F",400 €,
3318,"Association Nationale le Refuge Délégation Montpellier","F",6 500 €,
1253,"Association Prévention Routière","F",1 600 €,
3308,"Caraïbe Afrique Solidarité Etudiante - LA CASE","M",2 000 €,
1150,"Cimade - Service Œcuménique d'Entraide","F",4 000 €,
5233,"Conseil Départemental de l'Accès au Droit","F",3 700 €,
5233,"Conseil Départemental de l'Accès au Droit","M",800 €,
4786,"Lesbian and Gay Pride Languedoc-Roussillon","F",5 000 €,
4786,"Lesbian and Gay Pride Languedoc-Roussillon","M",2 500 €,
2076,"Ligue contre la Violence Routière Section Hérault","F",3 000 €,
514,"Ligue des Droits de l'Homme et du Citoyen","F",1 500 €,
419,"Ligue Internationale Contre le Racisme et l'Antisémitisme","F",5 000 €,
,,"Total ",44 800 €,
"N°Asso.","Association (l’économie des ressources et du patrimoine)","Nature ","Montant",
3230,"Maison de l'Architecture du Languedoc Roussillon","M",3 000 €,
3230,"Maison de l'Architecture du Languedoc Roussillon","M",500 €,
4254,"Patrimoine et Architecture","F",1 300 €,
1456,"Architecture et Maître d'Ouvrages","M",1 000 €,
,,"Total",5 800 €,
"N°Asso.","Association (vie associative)","Nature ","Montant",
4840,"ADEQV Quartiers Petit Bard Pergola","F",500 €,
1772,"Alger Club Les Enfants Les Amis","F",1 200 €,
2301,"Amicale Belabbésienne d'Aide et Solidarité","F",600 €,
1894,"Amicale des Anciens du Maroc en Languedoc","F",1 200 €,
368,"Amicale des Corses de Montpellier","F",1 000 €,
361,"Amicale des Lozériens de Montpellier","F",500 €,
2698,"Amicale Français d'Outre-Mer et leurs Amis","F",1 200 €,
1453,"Amicale Héraultaise des Enfants de Bone et de Constantine","F",1 200 €,
92,"Amicale Lou Clapas","F",300 €,
4747,"Animation et Vie des Aubes","F",500 €,
4747,"Animation et Vie des Aubes","M",200 €,
4802,"Arceaux Vie Active","F",250 €,
4802,"Arceaux Vie Active","M",250 €,
308,"Asso des Habitants et Travailleurs de la Paillade","F",500 €,
5182,"Asso des Riverains de la rue de Fontcouverte et rues Adjacentes","F",300 €,
3791,"Association A l'Ecoute Saint Martin Prés d'Arènes","F",500 €,
1907,"Association Culturelle Judéo Musulmane du Languedoc Roussillon","F",300 €,
2012,"Association de Quartier Beaux-Arts Pierre Rouge","M",600 €,
2012,"Association de Quartier Beaux-Arts Pierre Rouge","F",500 €,
509,"Association des Déportés, Internés, Résistants et Patriotes","F",500 €,
3160,"Association des Quartiers des Marels II, Pergola, Aiguelongue","M",450 €,
1248,"Association des Résidents d'Antigone - ADRA","F",500 €,
1248,"Association des Résidents d'Antigone - ADRA","M",300 €,
1902,"Association du Nouveau Sainte-Anne","F",800 €,
474,"Association La Gerbe","F",13 000 €,
1979,"Association Mieux Vivre la marquerose","F",500 €,
388,"Association Sportive et Culturelle Croix d'Argent Montpellier","F",500 €,
515,"AVF Montpellier (Accueil des Villes Françaises Montpellier)","F",1 500 €,
5463,"Bagat'elles Comité de Quartier Bagatelle","M",700 €,
4535,"Bien Vivre au Courreau et au Plan Cabanes","F",500 €,
3679,"Bout'Entrain","F",500 €,
3679,"Bout'Entrain","M",200 €,
1029,"Centre 665","F",12 250 €,
1430,"Centre d'Animation Culturelle du Quartier Saint François","F",500 €,
3632,"Cercle Culturel Amis de Malte du LR et Amicale Anciens de Tunisie","F",1 200 €,
3324,"Cercle des Anciens de l'Etoile Bleue de Montpellier","F",400 €,
1530,"Club de la Presse Montpellier Hérault Languedoc-Roussillon","F",20 000 €,
991,"Club des Chiffres et des Lettres de l'Hérault","F",300 €,
4038,"Club Pyramide Philaé 34","F",300 €,
4737,"Club Question pour un Champion Montpellier","M",300 €,
1554,"Comité de Quartier Aiguelongue et Justice en Chæur","F",300 €,
1554,"Comité de Quartier Aiguelongue et Justice en Chœur","M",300 €,
4605,"Comité de Quartier Clerondegambe","F",500 €,
2011,"Comité de Quartier Croix d'Argent-Sabines","F",500 €,
322,"Comité de Quartier de Celleneuve","F",500 €,
325,"Comité de Quartier de la Chamberte","F",200 €,
325,"Comité de Quartier de la Chamberte","M",700 €,
3440,"Comité de Quartier de Tournezy","F",500 €,
3440,"Comité de Quartier de Tournezy","M",200 €,
1340,"Comité de Quartier des Cévennes et Environs","F",500 €,
1340,"Comité de Quartier des Cévennes et Environs","M",200 €,
219,"Comité de Quartier des Hauts de Massane","F",500 €,
1780,"Comité de Quartier Les Aiguerelles La Rauze","F",500 €,
1780,"Comité de Quartier Les Aiguerelles La Rauze","M",200 €,
3680,"Comité de Quartier Mion Association","F",500 €,
2796,"Comité de quartier Pasquier - Don Bosco","F",500 €,
5372,"Comité de quartier Port Marianne Sud","F",500 €,
948,"Comité de Quartier Rocambale Ouest","F",500 €,
4250,"Comité de Quartier Saint Clément","F",500 €,
76,"Comité de Quartier Saint Roch et Ecusson","F",500 €,
317,"Comité de Quartier Tastavin-Lemasson-Mas Drevon-Marquerose","F",500 €,
317,"Comité de Quartier Tastavin-Lemasson-Mas Drevon-Marquerose","M",200 €,
1671,"Comité des Fêtes de la Ville de Montpellier","F",1 500 €,
1984,"Comité Environnement Urbain Equipement Nature - CEVEN","F",500 €,
283,"Comité Prospectives et Concertations des Quartiers du Millénaire","F",500 €,
1687,"Croix d'Argent Plus","F",500 €,
13,"France Bénévolat Montpellier Hérault","F",1 550 €,
1300,"Fraternité Corse","F",500 €,
4906,"Gipsy Catalans Gely Figuerolles","F",2 500 €,
5311,"Holdub Collectif","F",500 €,
5124,"Homéopathie pour Tous","F",250 €,
296,"Jasmin d'Orient","F",1 500 €,
2957,"La Baronnie de Caravètes","M",2 000 €,
182,"La Garriga Lengadociana","F",2 150 €,
4594,"Les Amoureux de Candolle","F",500 €,
4594,"Les Amoureux de Candolle","M",700 €,
122,"Majorettes de Montpellier dites Major's Girls","F",3 000 €,
121,"Majorettes Impériales de Montpellier","F",3 000 €,
1233,"Malbosc Bouge Comité de Quartier","F",500 €,
1233,"Malbosc Bouge Comité de Quartier","M",200 €,
3940,"Mare Nostrum","F",500 €,
428,"Mouvement de la Paix - Comité de Montpellier","F",500 €,
424,"Mouvement pour une Alternative Non-Violente","F",500 €,
434,"Mouvement Unifié des Rapatriés","F",1 200 €,
4203,"OPIFAC","F",500 €,
1014,"Oranie 83","F",1 200 €,
177,"Orchestre Batterie Fanfare Etoile Bleue Montpelliéraine","F",14 500 €,
3943,"Passe Pierres","F",500 €,
5465,"Plan Cabanes et Figuerolles","F",500 €,
4171,"Profession Sport 34","F",800 €,
38,"Radio Aviva 88 FM","M",500 €,
4841,"Vivre Ensemble en Citoyens Quartier des Cévennes","F",500 €,
,,"Total ",119 650 €,
"N°Asso.","Association (l’exclusion / animal dans la ville)","Nature ","Montant",
2110,"A Coeur ouvert","F",3 490 €,
4703,"Amicale du Nid","F",1 000 €,
1118,"ATD Quart-Monde Comité de Montpellier","F",1 500 €,
1942,"Banque Alimentaire de l'Hérault","F",10 000 €,
1913,"Conférence Sainte Croix Association Saint Vincent de Paul","F",350 €,
4469,"Conseil de Protection Féline de l'Hérault","F",3 000 €,
5448,"Culture du cœur Languedoc Roussillon","F",7 500 €,
3090,"Initiative Solidarité Situations Urgence Sociale - ISSUE","F",9 000 €,
1664,"L'Avitarelle","F",85 000 €,
3359,"Mouvement du Nid","F",7 200 €,
1493,"Restaurants du Coeur - Relais du cœur","F",61 000 €,
666,"Secours Catholique","F",8 500 €,
666,"Secours Catholique","F",5 000 €,
1068,"Secours Populaire Français Montpellier","F",35 000 €,
5,"Société Canine du Languedoc-Roussillon","F",900 €,
4326,"Société de Saint Vincent de Paul","F",7 500 €,
2835,"Solidarité Dom Tom Hérault","F",25 000 €,
5170,"SOS Nature","F",1 000 €,
4104,"Vétérinaires pour tous Languedoc Roussillon","F",2 000 €,
,,"Total",273 940 €,
"N°Asso.","Association (droit des femmes et de la petite enfance)","Nature ","Montant",
4887,"Adages Relais Parental Les Lilas","F",7 440 €,
497,"Association Anim'Frimousses","F",300 €,
4807,"Association Tin Hinan","F",3 000 €,
58,"Atelier Théâtr'elles","M",3 000 €,
846,"Benjamins Média","F",2 000 €,
1909,"Centre d'Information des Droits des Femmes et Familles - CIDF","F",15 000 €,
1909,"Centre d'Information des Droits des Femmes et Familles - CIDF","M",3 000 €,
4744,"Chèvre Feuille Etoilée Editions","F",2 500 €,
5377,"CICADE","M",1 000 €,
5229,"Collectif des Crèches Associatives et Parentales de l'Hérault","F",3 000 €,
3901,"Halte Pouce","F",4 300 €,
409,"Jouons en Ludothèques","F",1 000 €,
777,"Mouvement Français pour le Planning Familial","F",5 000 €,
1998,"Pause Goûter","F",6 400 €,
4770,"Riroli","F",600 €,
55,"Union Féminine Civique et Sociale","F",2 500 €,
,,"Total",60 040 €,
"N°Asso.","Association (réussite éducative)","Nature ","Montant",
3421,"APEDYS Hérault","F",800 €,
644,"Association de Parents d'Elèves Enseignement Public","F",1 100 €,
3932,"Association des Cévennes Insertion, Loisirs et Education - ACLE","F",10 000 €,
1902,"Association du Nouveau Sainte-Anne","M",500 €,
1386,"Association Pour L'Enseignement aux Malades ou Accidentés","F",1 500 €,
1261,"Atelier Permanent d'Initiation à l'Environnement Urbain","M",2 500 €,
1261,"Atelier Permanent d'Initiation à l'Environnement Urbain","M",2 000 €,
5011,"Cantar e Dansar","F",60 000 €,
309,"CEMEA - Centre d'Entraînement Méthodes Education Active","F",1 000 €,
309,"CEMEA - Centre d'Entraînement Méthodes Education Active","M",1 000 €,
25,"Clristals Les Petits Débrouillards","M",1 000 €,
25,"Clristals Les Petits Débrouillards","F",2 000 €,
5207,"Collectif Education Populaire et Transfor","F",750 €,
5446,"Creaction","M",4 000 €,
406,"Echecs Club Montpellier","M",6 300 €,
525,"Ecole élémentaire Léopold-Sedar-Senghor Montpellier","M",1 000 €,
5211,"Enfants précoces surdoués - Haut Potentiel Intellectuel LR","F",1 000 €,
5234,"Entre Cour et Jardin","F",750 €,
642,"Fédération des Conseils de Parents d'Elèves de l'Hérault","F",7 000 €,
105,"Festival International du Cinéma Méditerranéen de Montpellier","M",7 000 €,
686,"Groupe d'Etude et d'Insertion Sociale de Personnes Trisomiques 21","F",3 000 €,
2294,"Groupe Français d'Education Nouvelle LR","F",1 000 €,
1281,"Kaïna","M",3 500 €,
1201,"La Boutique d'Ecriture et Co","M",5 000 €,
5305,"La Maison Théâtre","F",700 €,
467,"Le Relais - Maison des Enfants dans la Ville","M",3 000 €,
467,"Le Relais - Maison des Enfants dans la Ville","F",1 000 €,
467,"Le Relais - Maison des Enfants dans la Ville","M",2 000 €,
5483,"Les amis de Jules","M",400 €,
5483,"Les amis de Jules","F",300 €,
3536,"Les Amis de la Mémoire Pédagogique","F",400 €,
5498,"Les bambins de  Vasco","F",500 €,
262,"Les Ecologistes de l'Euzière","M",1 500 €,
5097,"Les Enfants d'Hélène","F",5 000 €,
1833,"Les Francas du Languedoc-Roussillon","M",10 000 €,
2242,"L'oiseau Lyre","M",1 000 €,
1621,"Mohicans Actions Educatives Eco-gestes et Jardins","F",500 €,
1621,"Mohicans Actions Educatives Eco-gestes et Jardins","M",500 €,
919,"MUC Escrime","M",2 500 €,
5481,"OCCE 34 Charles Dickens","M",3 000 €,
5478,"OCCE 34 Ecole Sevigné","M",2 000 €,
1695,"OCCE Antoine Balard","M",1 460 €,
714,"OCCE Ecole publique Heidelberg","M",2 000 €,
5272,"OCCE Ecole Teresa","F",800 €,
551,"Office Central de la Coopération à l'Ecole de l'Hérault","M",1 500 €,
2737,"Swing Gum Enfance","M",4 500 €,
344,"Terre Nourricière","M",1 000 €,
5366,"Traces d’histoires","M",500 €,
1814,"Union Départementale des Délégués de l’Education Nationale","F",750 €,
5385,"Zadigozinc","F",3 000 €,
,,"Total",173 510 €,
"N°Asso.","Association (sport solidaire)","Nature ","Montant",
4219,"A.S. Inter de Montpellier","F",1 200 €,
2055,"Aikido Club Montpellier","F",500 €,
985,"Amicale Boules La Paillade","F",500 €,
1187,"Arceaux Montpellier","M",1 800 €,
1187,"Arceaux Montpellier","F",12 000 €,
2466,"AS Cévennes","F",3 200 €,
914,"ASLJ Montpellier Croix d'Argent Volley Beach Volley","F",40 000 €,
2139,"ASPTT Montpellier","F",71 000 €,
2639,"Asso Présidents Pétanque Secteur Montpellier Ville","F",6 000 €,
4561,"Asso Sportive Employés Municipaux Omnisports","F",12 800 €,
5565,"Association culturelle et sportive Montpellier Outre Mer","F",500 €,
5086,"Association Foot-Fauteuils - Les Fauteuils de Feu","F",3 000 €,
3001,"Association Les Foulées du Millénaire","M",2 500 €,
4913,"Association Sportive Atlas Paillade","F",15 000 €,
4875,"Association Sportive de Celleneuve","F",4 000 €,
1403,"Association Sportive de Tir pour Tous","F",1 200 €,
1230,"Association Sportive des Beaux-Arts Montpellier Omnisports","F",28 500 €,
1230,"Association Sportive des Beaux-Arts Montpellier Omnisports","M",500 €,
4806,"Association sportive et Culturelle Paillade Mercure","F",4 000 €,
2583,"Basket Lattes Montpellier Agglomération","F",19 000 €,
3081,"Bleu Vertige","F",4 000 €,
5187,"Boutaghate Sans Frontieres","F",2 900 €,
863,"Boxing Club Montpelliérain","F",3 500 €,
963,"CEP Montpellier Gym","F",33 200 €,
4748,"Chemin des Cimes","F",2 900 €,
4748,"Chemin des Cimes","M",3 390 €,
4821,"Club des Supporters Blue Fox du Montpellier Handball","F",4 850 €,
5001,"Club des Supporters Montpellier Hérault Rugby Club","F",1 940 €,
1819,"Club Sportif Bouliste de Montpellier","F",2 250 €,
4870,"Club Sportif des Sourds de Montpellier et de l'Hérault","F",1 500 €,
1785,"Comité d'Organisation Forum Sportif et Culturel - COFSEC","F",11 800 €,
72,"Croix d'Argent Basket","F",26 000 €,
2470,"Croix d'Argent Pétanque","F",450 €,
406,"Echecs Club Montpellier","F",7 500 €,
3634,"Ecole de Bowling de Montpellier","F",2 450 €,
4897,"Energie Paillade","F",1 950 €,
4233,"Entente Cheminots Lantissargues","F",2 250 €,
978,"Entente Sportive Bouliste de Montpellier","F",1 950 €,
978,"Entente Sportive Bouliste de Montpellier","M",8 700 €,
5442,"EURSL Montpellier Agglomération Handball","F",150 000 €,
3176,"Festival International des sports extrêmes - FISE","M",80 000 €,
2066,"Fête Le Mur Montpellier","F",9 000 €,
102,"Football Club Petit Bard","F",40 000 €,
4079,"Groupe Décision","F",300 €,
1807,"Gymnastique Volontaire La Sarralhiet","F",400 €,
3649,"Gymnastique Volontaire Section d'Alco","F",400 €,
2016,"Jean Monnet Antigone Pétanque","F",450 €,
4533,"Jeunesse sans Frontières","F",1 450 €,
5032,"La Boule Catalane Gely Figuerolles","F",500 €,
1234,"La Boule du Lantissargues","F",3 000 €,
4547,"La Maison du Judo","F",3 000 €,
2053,"La Montpellier reine a du Coeur","M",1 450 €,
4009,"Los Valents de Montpelhièr","F",600 €,
577,"Malbosc Pétanque","F",1 000 €,
4701,"MFA Montpellier Football Américain les Hurricanes","F",3 880 €,
1238,"Montpellier A M Judo","F",3 000 €,
5223,"Montpellier Agglo Athlétic Méditerranée","F",100 000 €,
5223,"Montpellier Agglo Athlétic Méditerranée","M",48 500 €,
4012,"Montpellier Agglomération Futsal","F",6 000 €,
3659,"Montpellier Agglomération Taekwondo Dragons Team","M",2 000 €,
3659,"Montpellier Agglomération Taekwondo Dragons Team","F",9 000 €,
278,"Montpellier Arc Club","M",3 000 €,
278,"Montpellier Arc Club","F",8 000 €,
1918,"Montpellier Athlétic Running Club","F",3 000 €,
769,"Montpellier Badminton Club","F",1 000 €,
