"? Crapaud cornu","Ceratophrys cornuta",,
"? Dendrobate bleu","Dendrobates azureus",,"ESB"
"? Dendrobate doré","Dendrobates auratus",,
"? Dendrobate jaune","Dendrobates leucomelas",,
"? Rainette kunawalu","Phrynohyas resinifictrix",,
"Total  5 espèces d’amphibiens",,,"1 ESB"
,,,
"Poissons",,,
"Nom courant","Nom scientifique","EEP","ESB"
"? Arawana","Osteoglossum bicirrhosum",,
"? Hemiancistrus","Hemiancistrus",,
"? Leporinus à bandes","Leporinus fasciatus",,
"? Pacu noir","Colossoma macropomum",,
"? Peckoltia","Peckoltia vittata",,
"? Piranha à ventre rouge","Pygocentrus nattereri",,
"? Pleco","Hypostomus plecostomus",,
"? Poisson à quatre yeux","Anableps anableps",,
"? Poisson chat","Phractocephalus hemioliopterus",,
"? Poisson couteau américain","Apteronotus albifrons",,
"? Poisson lune","Myleus rubripinnis",,
"? Poisson tigre","Pseudoplatystoma fasciatum",,
"? Prochilodus à queue en drapeau","Semaprochilodus insignis",,
"? Raie à aiguillon commune","Potamotrygon motoro",,
"? Satanoperca","Satanoperca jurupari",,
"? Terreur rouge","Cichlasoma festae",,
"Total 16 espèces de poissons",,,
,,,
"Arthropodes : Insectes, araignées, iules…",,,
"Nom courant","Nom scientifique","EEP","ESB"
"? Fourmi manioc","Acromyrmex octospinosus",,
"? Iule ","Scolopendra sp.",,
"? Mygale aviculaire","Avicularia versicolor",,
"? Tarentule saumonée du Brésil","Lasiodora parahybana",,
"Total 4 espèces d’arthropodes",,,
,,"30 EEP","17 ESB"
"TOTAL  154 ESPECES (environ 1000 animaux et 2 fourmilières) ",,,
