nom du dossier,Superficie bien vendu,Désignation du bien,Surface utile,Montant mise en vente,Vendeurs,Acquéreurs,Quartiers,Dates,Dates D,Occup,CODES,Cod acteurs,,code date,Code cadastre,delais
IA,,Appartement et annexes,"85,58",222000,Particulier,Particulier,PA -Aiguerelles,04/01/2010,11/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,PA -Aiguer,7
IA,,Appartement et annexes,"53,16",110000,Particulier,,MO -Celleneuve,04/01/2010,11/01/2010,Sans occupant,Apparteme,Particuli,,1,MO -Cellen,7
IA,,Appartement,"17,82",64000,Particulier,,HF -Hopitaux Facultés,04/01/2010,11/01/2010,Sans occupant,Apparteme,Particuli,,1,HF -Hopita,7
IA,,Appartement,"99,44",210000,SACI-SCCV,,CA -Lemasson,04/01/2010,11/01/2010,Sans occupant,Apparteme,SACI-SCCV,,1,CA -Lemass,7
IA,463,Villa,120,330000,Particulier,Collectivité locale,CA -Croix d'Argent,04/01/2010,11/01/2010,Sans occupant,Villa,Particuli,Collectiv,1,CA -Croix ,7
IA,,Appartement et annexes,"69,17",160000,Particulier,Particulier,CA -Pas du Loup,04/01/2010,11/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,CA -Pas du,7
IA,,Appartement et annexes,"84,19",205000,Particulier,Particulier,,04/01/2010,11/01/2010,,Apparteme,Particuli,Particuli,1,,7
IA,,Appartement et annexes,"28,8",105000,Particulier,Particulier,PM -Millénaire,04/01/2010,11/01/2010,Locataire,Apparteme,Particuli,Particuli,1,PM -Millén,7
IA,,Appartement et annexes,"48,4",160000,Particulier,Particulier,PM -Port Marianne,04/01/2010,11/01/2010,Locataire,Apparteme,Particuli,Particuli,1,PM -Port M,7
IA,,Appartement et annexes,"82,22",172000,Particulier,Particulier,CE -Les Cévennes,04/01/2010,11/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,CE -Les Cé,7
IA,,Appartement et annexes,"53,34",116000,SCI,Particulier,HF -Hopitaux Facultés,04/01/2010,11/01/2010,Propriétaire,Apparteme,SCI,Particuli,1,HF -Hopita,7
IA,,Appartement et annexes,"67,1",60390,SACI-SCCV,Particulier,PA -Saint Martin,04/01/2010,11/01/2010,Locataire,Apparteme,SACI-SCCV,Particuli,1,PA -Saint ,7
IA,,Appartement et annexes,"57,98",150000,Particulier,Particulier,CA -Lemasson,04/01/2010,11/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CA -Lemass,7
IA,,Appartement,"90,16",132000,Particulier,SCI,CA -Pas du Loup,04/01/2010,11/01/2010,Sans occupant,Apparteme,Particuli,SCI,1,CA -Pas du,7
IA,,Appartement et annexes,25,73500,Particulier,Particulier,PM -Pompignane,04/01/2010,11/01/2010,Locataire,Apparteme,Particuli,Particuli,1,PM -Pompig,7
IA,,Appartement,20,44000,Particulier,,MO -La Paillade,04/01/2010,11/01/2010,Locataire,Apparteme,Particuli,,1,MO -La Pai,7
IA,,Garage,,12000,Particulier,Particulier,CE -Alco,04/01/2010,11/01/2010,,Garage,Particuli,Particuli,1,CE -Alco,7
IA,510,Villa,130,305000,Particulier,Particulier,CA -Estanove,04/01/2010,11/01/2010,Sans occupant,Villa,Particuli,Particuli,1,CA -Estano,7
IA,4956,Terrain,,125000,Particulier,Collectivité locale,HF -Plan des quatre Seigneurs,05/01/2010,11/01/2010,,Terrain,Particuli,Collectiv,1,HF -Plan d,6
IA,,Appartement et annexes,"78,15",210000,Particulier,Particulier,PM -Port Marianne,05/01/2010,11/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,PM -Port M,6
IA,,Appartement et annexes,"33,24",85000,Particulier,Particulier,CA -Lemasson,05/01/2010,11/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,CA -Lemass,6
IA,,Appartement et annexes,"68,22",84000,Particulier,Particulier,HF -Hopitaux Facultés,05/01/2010,11/01/2010,Locataire,Apparteme,Particuli,Particuli,1,HF -Hopita,6
IA,,Appartement,"66,85",50000,Particulier,Particulier,CE -Alco,05/01/2010,11/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CE -Alco,6
IA,211,Villa,130,360000,Particulier,Particulier,MC -Gares,05/01/2010,12/02/2010,Sans occupant,Villa,Particuli,Particuli,1,MC -Gares,38
IA,,Appartement,"36,89",102500,SCI,Particulier,MC -Antigone,04/01/2010,18/01/2010,Propriétaire,Apparteme,SCI,Particuli,1,MC -Antigo,14
IA,,Appartement et annexes,"48,81",142000,Particulier,Particulier,MC -Les Arceaux,04/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Les Ar,14
IA,546,Villa,162,450000,Particulier,Particulier,MC -Les Beaux Arts,04/01/2010,18/01/2010,Sans occupant,Villa,Particuli,Particuli,1,MC -Les Be,14
IA,,Garage,,30000,Particulier,Particulier,MC -Les Aubes,05/01/2010,18/01/2010,,Garage,Particuli,Particuli,1,MC -Les Au,13
IA,,Appartement et annexes,58,183000,Particulier,Particulier,MC -Antigone,04/01/2010,18/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Antigo,14
IA,,Appartement,"29,14",80000,Particulier,Particulier,MC -Antigone,04/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Antigo,14
IA,,Local commercial,100,280000,SCI,SCI,MC -Centre Historique,05/01/2010,26/01/2010,Sans occupant,Local com,SCI,SCI,1,MC -Centre,21
IA,,Appartement et annexes,"122,9",65000,promoteur immobilier,SCI,MC -Centre Historique,05/01/2010,01/03/2010,Locataire,Apparteme,promoteur,SCI,1,MC -Centre,55
IA,,Local commercial,47,192000,SCI,Particulier,MC -Comédie,04/01/2010,26/01/2010,Sans occupant,Local com,SCI,Particuli,1,MC -Comédi,22
IA,,Appartement,"476,11",1000000,Particulier,Particulier,MC -Comédie,04/01/2010,26/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Comédi,22
IA,,Appartement et annexes,"86,48",200000,Particulier,Particulier,MC -Gares,06/01/2010,20/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Gares,14
IA,,Appartement et annexes,"43,66",93000,Particulier,Particulier,CA -Estanove,06/01/2010,11/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CA -Estano,5
IA,412,Villa,130,314000,Particulier,Particulier,CE -La Chamberte,06/01/2010,18/01/2010,Sans occupant,Villa,Particuli,Particuli,1,CE -La Cha,12
IA,,Appartement et annexes,"19,61",73000,Particulier,,PM -Port Marianne,06/01/2010,14/01/2010,Locataire,Apparteme,Particuli,,1,PM -Port M,8
IA,,Appartement et annexes,"72,14",164000,Particulier,Particulier,CA -Croix d'Argent,06/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CA -Croix ,8
IA,,Appartement et annexes,"100,67",288000,Particulier,,PM -Port Marianne,06/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,,1,PM -Port M,8
IA,,Appartement et annexes,"93,94",126000,Particulier,,CE -Alco,06/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,,1,CE -Alco,8
IA,,Appartement et annexes,,,Particulier,,MO -La Paillade,05/01/2010,21/01/2010,,Apparteme,Particuli,,1,MO -La Pai,16
IA,12632,Bien exceptionnel,12632,3300000,Collectivité locale,SEM,MC -Gambetta,04/01/2010,18/01/2010,Sans occupant,Bien exce,Collectiv,SEM,1,MC -Gambet,14
IA,,Garage,,11000,Particulier,Particulier,MC -Boutonnet,07/01/2010,14/01/2010,,Garage,Particuli,Particuli,1,MC -Bouton,7
IA,,Appartement,"29,19",76000,Particulier,Particulier,MC -Gambetta,07/01/2010,26/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Gambet,19
IA,,Appartement et annexes,"80,41",255000,Particulier,,MC -Comédie,06/01/2010,26/01/2010,Sans occupant,Apparteme,Particuli,,1,MC -Comédi,20
IA,,Appartements 2 et +,"36,55",95000,Particulier,Particulier,MC -Comédie,06/01/2010,26/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Comédi,20
IA,,Appartement,"71,62",130000,Particulier,Particulier,MC -Les Aubes,06/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Les Au,12
IA,,Appartement et annexes,"25,7",114500,Particulier,Particulier,MC -Antigone,08/01/2010,18/01/2010,Locataire,Apparteme,Particuli,Particuli,1,MC -Antigo,10
IA,,Appartement et annexes,"90,32",336000,Particulier,,MC -Boutonnet,07/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,,1,MC -Bouton,11
IA,,Appartement et annexes,"71,6",160000,SACI-SCCV,Particulier,MC -Boutonnet,06/01/2010,18/01/2010,Locataire,Apparteme,SACI-SCCV,Particuli,1,MC -Bouton,12
IA,,Garage,,15000,Particulier,,MC -Les Beaux Arts,07/01/2010,18/01/2010,,Garage,Particuli,,1,MC -Les Be,11
IA,,Appartement et annexes,"19,27",95000,Particulier,Particulier,MC -Comédie,06/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Comédi,12
IA,,Appartement et annexes,99,293000,Particulier,Particulier,MC -Gambetta,07/01/2010,18/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Gambet,11
IA,,Appartement et annexes,"50,53",230000,Particulier,Particulier,MC -Gambetta,06/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Gambet,12
IA,,Villa,84,245000,Particulier,Particulier,CA -Croix d'Argent,07/01/2010,18/01/2010,Propriétaire,Villa,Particuli,Particuli,1,CA -Croix ,11
IA,,Appartement et annexes,"26,62",55000,Particulier,Particulier,CA -Lemasson,06/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CA -Lemass,8
IA,,Appartement et annexes,"50,44",114000,Particulier,Particulier,HF -Hopitaux Facultés,07/01/2010,14/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,HF -Hopita,7
IA,,Appartement et annexes,"113,07",365000,Particulier,Particulier,MC -Boutonnet,07/01/2010,14/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Bouton,7
IA,,Appartement et annexes,"46,19",125000,Particulier,,CE -Alco,07/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,,1,CE -Alco,7
IA,,Garage,,10800,Particulier,,CE -Alco,07/01/2010,14/01/2010,,Garage,Particuli,,1,CE -Alco,7
IA,,Appartement et annexes,"87,6",190000,Particulier,Particulier,MC -Boutonnet,07/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Bouton,7
IA,,Appartement et annexes,"72,81",194000,Particulier,,CE -La Martelle,07/01/2010,14/01/2010,Propriétaire,Apparteme,Particuli,,1,CE -La Mar,7
IA,,Garage,,4000,Particulier,Particulier,MO -La Paillade,07/01/2010,14/01/2010,,Garage,Particuli,Particuli,1,MO -La Pai,7
IA,,Appartement et annexes,"90,07",221000,Particulier,Particulier,CE -Les Cévennes,07/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CE -Les Cé,7
IA,,Appartement et annexes,"48,12",85640,Particulier,Particulier,MO -Celleneuve,07/01/2010,14/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MO -Cellen,7
IA,,Appartement et annexes,"27,74",63000,Particulier,Particulier,CE -Alco,06/01/2010,14/01/2010,Locataire,Apparteme,Particuli,Particuli,1,CE -Alco,8
IA,,Appartement et annexes,"84,67",180000,Particulier,Particulier,,06/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,,8
IA,,Appartement et annexes,"25,98",54000,Particulier,Particulier,CE -Alco,07/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CE -Alco,7
IA,,Appartement et annexes,"80,22",215000,Particulier,Particulier,CA -Pas du Loup,06/01/2010,14/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,CA -Pas du,8
IA,,Garage,,11600,Particulier,Particulier,HF -Hopitaux Facultés,06/01/2010,14/01/2010,,Garage,Particuli,Particuli,1,HF -Hopita,8
IA,,Appartement et annexes,"44,52",143000,Particulier,Particulier,PM -Port Marianne,07/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,PM -Port M,7
IA,,Appartement et annexes,"26,25",85700,Particulier,Particulier,HF -Hopitaux Facultés,07/01/2010,14/01/2010,Locataire,Apparteme,Particuli,Particuli,1,HF -Hopita,7
IA,,Appartement,"35,54",109000,Particulier,SCI,HF -Hopitaux Facultés,08/01/2010,14/01/2010,Locataire,Apparteme,Particuli,SCI,1,HF -Hopita,6
IA,,Appartement et annexes,"17,42",63000,Particulier,Particulier,HF -Hopitaux Facultés,08/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,HF -Hopita,6
IA,,Appartement et annexes,"50,03",138000,Particulier,Particulier,MC -Boutonnet,08/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Bouton,6
IA,,Appartement et annexes,32,75000,Particulier,Particulier,,08/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,,6
IA,,Appartement et annexes,"72,49",80000,Particulier,Particulier,MO -Hauts de Massane,07/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MO -Hauts ,11
IA,686,Villa,,750000,Particulier,Constructeur,MC -Boutonnet,08/01/2010,18/01/2010,Sans occupant,Villa,Particuli,Construct,1,MC -Bouton,10
IA,,Parking,,17000,,Particulier,PA -Saint Martin,06/01/2010,14/01/2010,Sans occupant,Parking,,Particuli,1,PA -Saint ,8
IA,,DIA annulée,,9000,,Particulier,PA -Saint Martin,06/01/2010,14/01/2010,Locataire,DIA annul,,Particuli,1,PA -Saint ,8
IA,,Appartement et annexes,"33,7",106000,Particulier,Particulier,HF -Aiguelongue,08/01/2010,14/01/2010,,Apparteme,Particuli,Particuli,1,HF -Aiguel,6
IA,,Local commercial,"50,36",135000,SCI,Particulier,MC -Centre Historique,07/01/2010,12/02/2010,Locataire,Local com,SCI,Particuli,1,MC -Centre,36
IA,,Appartement et annexes,"43,66",93000,Particulier,Particulier,CA -Estanove,08/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CA -Estano,6
IA,,Appartement,"26,1",40500,Particulier,Particulier,MC -Centre Historique,08/01/2010,26/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Centre,18
IA,90,Maison,160,210000,Particulier,Particulier,MC -Les Beaux Arts,07/01/2010,26/01/2010,Locataire,Maison,Particuli,Particuli,1,MC -Les Be,19
IA,,Local commercial,"27,1",70000,Particulier,SCI,MC -Antigone,08/01/2010,18/01/2010,Sans occupant,Local com,Particuli,SCI,1,MC -Antigo,10
IA,,Appartement et annexes,"67,45",185000,SCI,Particulier,MC -Antigone,08/01/2010,18/01/2010,Sans occupant,Apparteme,SCI,Particuli,1,MC -Antigo,10
IA,,Appartements 2 et +,"101,06",230000,Particulier,Particulier,,08/01/2010,18/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,,10
IA,,Appartement et annexes,"87,1",207000,Particulier,Particulier,MC -Antigone,08/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Antigo,10
IA,,Appartements 2 et +,"176,4",260000,Particulier,Particulier,MC -Les Beaux Arts,08/01/2010,08/03/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Les Be,59
IA,,Appartement et annexes,"72,25",225000,Particulier,Particulier,MC -Antigone,08/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Antigo,10
IA,,Garage,,12000,Particulier,Particulier,HF -Aiguelongue,08/01/2010,14/01/2010,Sans occupant,Garage,Particuli,Particuli,1,HF -Aiguel,6
IA,,Appartement,"51,12",153000,Particulier,Particulier,MC -Gambetta,08/01/2010,26/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Gambet,18
IA,,Appartement,22,44000,Particulier,Particulier,CE -La Chamberte,08/01/2010,14/01/2010,Locataire,Apparteme,Particuli,Particuli,1,CE -La Cha,6
IA,,Appartement,"26,62",77000,Particulier,Particulier,MC -Gambetta,08/01/2010,26/01/2010,Locataire,Apparteme,Particuli,Particuli,1,MC -Gambet,18
IA,,Appartement et annexes,"58,95",192000,Particulier,Particulier,HF -Aiguelongue,08/01/2010,14/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,HF -Aiguel,6
IA,,Appartement et annexes,"72,76",149000,Particulier,Particulier,PM -Pompignane,08/01/2010,14/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,PM -Pompig,6
IA,,Appartement et annexes,"98,74",225000,Particulier,Particulier,CE -La Chamberte,08/01/2010,18/01/2010,,Apparteme,Particuli,Particuli,1,CE -La Cha,10
IA,,Appartement et annexes,"51,5",158000,Particulier,Particulier,PM -Port Marianne,08/01/2010,18/01/2010,,Apparteme,Particuli,Particuli,1,PM -Port M,10
IA,,Appartement et annexes,"47,89",135000,Particulier,Particulier,HF -Aiguelongue,08/01/2010,18/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,HF -Aiguel,10
IA,,Garage,,24000,Particulier,Particulier,HF -Aiguelongue,08/01/2010,18/01/2010,Sans occupant,Garage,Particuli,Particuli,1,HF -Aiguel,10
IA,,Local commercial,"29,47",61000,Particulier,Particulier,CE -Alco,08/01/2010,18/01/2010,Sans occupant,Local com,Particuli,Particuli,1,CE -Alco,10
IA,,Parking,,13500,Particulier,Particulier,PM -Millénaire,08/01/2010,18/01/2010,Sans occupant,Parking,Particuli,Particuli,1,PM -Millén,10
IA,,Appartement et annexes,"47,14",110000,Particulier,Particulier,CE -Alco,08/01/2010,18/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CE -Alco,10
IA,300,Villa,160,298000,Particulier,Particulier,PA -Saint Martin,06/01/2010,18/01/2010,Sans occupant,Villa,Particuli,Particuli,1,PA -Saint ,12
IA,603,Villa,90,295000,Particulier,Particulier,CE -La Martelle,08/01/2010,18/01/2010,Propriétaire,Villa,Particuli,Particuli,1,CE -La Mar,10
IA,405,Villa,120,300000,SCI,,CA -Pas du Loup,06/01/2010,18/01/2010,Locataire,Villa,SCI,,1,CA -Pas du,12
IA,,Appartement,"39,93",121000,Particulier,Particulier,MC -Boutonnet,12/01/2010,03/02/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Bouton,22
IA,,Appartement,"14,86",34000,Particulier,Particulier,MC -Figuerolles,11/01/2010,03/02/2010,Locataire,Apparteme,Particuli,Particuli,1,MC -Figuer,23
IA,,Appartement,"72,74",105000,Particulier,Particulier,MC -Les Beaux Arts,11/01/2010,03/02/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Les Be,23
IA,,Garage,,22000,Particulier,Particulier,MC -Gares,11/01/2010,03/02/2010,,Garage,Particuli,Particuli,1,MC -Gares,23
IA,,Appartement,"50,86",150000,Particulier,,MC -Gares,11/01/2010,03/02/2010,Propriétaire,Apparteme,Particuli,,1,MC -Gares,23
IA,,Appartement et annexes,"58,25",127000,SCI,Particulier,MC -Les Beaux Arts,12/01/2010,03/02/2010,Sans occupant,Apparteme,SCI,Particuli,1,MC -Les Be,22
IA,,Appartement,"34,04",125000,Particulier,SCI,MC -Les Beaux Arts,12/01/2010,03/02/2010,Sans occupant,Apparteme,Particuli,SCI,1,MC -Les Be,22
IA,,Local commercial,"128,1",477000,SACI-SCCV,SCI,MC -Les Beaux Arts,12/01/2010,04/02/2010,Sans occupant,Local com,SACI-SCCV,SCI,1,MC -Les Be,23
IA,,Appartement,"27,76",106000,Particulier,Particulier,,12/01/2010,03/02/2010,Sans occupant,Apparteme,Particuli,Particuli,1,,22
IA,,Appartement,"87,43",130000,Particulier,Particulier,MC -Les Arceaux,12/01/2010,03/02/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Les Ar,22
IA,,Appartement et annexes,"66,06",141000,Particulier,Particulier,MC -Les Beaux Arts,18/01/2010,03/02/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Les Be,16
IA,,Appartement,45,115000,Particulier,,MC -Centre Historique,12/01/2010,04/02/2010,Locataire,Apparteme,Particuli,,1,MC -Centre,23
IA,,Appartement et annexes,"158,73",400000,Particulier,Particulier,MC -Centre Historique,12/01/2010,04/02/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Centre,23
IA,,Appartement,"32,4",97500,Particulier,Particulier,MC -Gambetta,11/01/2010,04/02/2010,Locataire,Apparteme,Particuli,Particuli,1,MC -Gambet,24
IA,,Appartement,"21,51",60000,Particulier,Particulier,MC -Les Beaux Arts,11/01/2010,04/02/2010,Locataire,Apparteme,Particuli,Particuli,1,MC -Les Be,24
IA,,Local commercial,"135,64",320000,Particulier,Particulier,MC -Comédie,11/01/2010,04/02/2010,Locataire,Local com,Particuli,Particuli,1,MC -Comédi,24
IA,,Appartement,"88,23",215000,Particulier,Particulier,MC -Gambetta,12/01/2010,04/02/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Gambet,23
IA,,Appartement et annexes,"30,5",89000,Particulier,Particulier,MC -Centre Historique,12/01/2010,04/02/2010,Locataire,Apparteme,Particuli,Particuli,1,MC -Centre,23
IA,315,Villa,140,430000,Particulier,,MC -Boutonnet,13/01/2010,03/02/2010,Propriétaire,Villa,Particuli,,1,MC -Bouton,21
IA,,Appartement et annexes,"62,62",210000,Particulier,Particulier,MC -Antigone,13/01/2010,,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Antigo,-40191
IA,,Appartement et annexes,"20,95",37000,Particulier,,CE -Alco,08/01/2010,20/01/2010,Sans occupant,Apparteme,Particuli,,1,CE -Alco,12
IA,133,Villa,68,162000,Particulier,Particulier,CE -La Martelle,07/01/2010,20/01/2010,Propriétaire,Villa,Particuli,Particuli,1,CE -La Mar,13
IA,,Appartement,"46,16",87000,Particulier,promoteur immobilier,MC -Centre Historique,13/01/2010,04/02/2010,Sans occupant,Apparteme,Particuli,promoteur,1,MC -Centre,22
IA,,Parking,,10000,Particulier,Particulier,HF -Aiguelongue,11/01/2010,20/01/2010,,Parking,Particuli,Particuli,1,HF -Aiguel,9
IA,,Local commercial,"53,35",114000,Particulier,Particulier,MC -Gambetta,13/01/2010,04/02/2010,Sans occupant,Local com,Particuli,Particuli,1,MC -Gambet,22
IA,,Appartement et annexes,33,88000,SCI,Particulier,MC -Gares,13/01/2010,03/02/2010,Sans occupant,Apparteme,SCI,Particuli,1,MC -Gares,21
IA,,Appartement et annexes,28,69000,SCI,Particulier,MC -Gares,13/01/2010,03/02/2010,Sans occupant,Apparteme,SCI,Particuli,1,MC -Gares,21
IA,654,Villa,90,450000,Particulier,,CE -La Chamberte,07/01/2010,20/01/2010,Propriétaire,Villa,Particuli,,1,CE -La Cha,13
IA,,Appartement,"78,29",190000,Particulier,Particulier,MC -Gares,13/01/2010,03/02/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Gares,21
IA,310,Villa,85,235000,Particulier,Particulier,CA -Estanove,07/01/2010,20/01/2010,Sans occupant,Villa,Particuli,Particuli,1,CA -Estano,13
IA,,Parking,,59000,SACI-SCCV,Particulier,MC -Gambetta,13/01/2010,19/02/2010,,Parking,SACI-SCCV,Particuli,1,MC -Gambet,37
IA,275,Villa,120,400000,Particulier,Particulier,MC -Boutonnet,13/01/2010,03/02/2010,Propriétaire,Villa,Particuli,Particuli,1,MC -Bouton,21
IA,,Appartement et annexes,"52,84",125000,Particulier,Particulier,CA -Estanove,13/01/2010,20/01/2010,Propriétaire,Apparteme,Particuli,Particuli,1,CA -Estano,7
IA,,Appartement,"42,43",88000,Particulier,Particulier,MC -Les Arceaux,13/01/2010,03/02/2010,Locataire,Apparteme,Particuli,Particuli,1,MC -Les Ar,21
IA,,Appartement et annexes,"26,9",90000,Particulier,Particulier,MC -Boutonnet,13/01/2010,03/02/2010,Propriétaire,Apparteme,Particuli,Particuli,1,MC -Bouton,21
IA,416,Villa,76,215000,Particulier,Particulier,CE -La Chamberte,11/01/2010,20/01/2010,Sans occupant,Villa,Particuli,Particuli,1,CE -La Cha,9
IA,,Appartement,"93,45",155000,Particulier,Particulier,MC -Gares,13/01/2010,12/02/2010,Sans occupant,Apparteme,Particuli,Particuli,1,MC -Gares,30
IA,,Appartement et annexes,"83,53",122000,Particulier,Particulier,CE -La Chamberte,12/01/2010,20/01/2010,Sans occupant,Apparteme,Particuli,Particuli,1,CE -La Cha,8
IA,,Appartement et annexes,"38,1",89000,Particulier,Particulier,MO -Celleneuve,11/01/2010,20/01/2010,Locataire,Apparteme,Particuli,Particuli,1,MO -Cellen,9
IA,,Appartement et annexes,"24,88",79000,Particulier,Particulier,PM -Port Marianne,12/01/2010,20/01/2010,,Apparteme,Particuli,Particuli,1,PM -Port M,8
