nom du dossier,Superficie bien vendu,Désignation du bien,Surface utile,Montant mise en vente,Vendeurs,Acquéreurs,Dates,Quartiers,CODES,Cod acteurs,,code date,Code cadastre
IA,,Appartements 2 et +,"55,11",147000,Particulier,Particulier,07/01/2008,MC -Centre Historique,Apparteme,Particuli,Particuli,1,MC -Centre
IA,,Appartement,"48,92",120000,Particulier,Particulier,08/01/2008,MC -Comédie,Apparteme,Particuli,Particuli,1,MC -Comédi
IA,,Local ,62,114000,Particulier,Particulier,21/01/2008,HF -Aiguelongue,Local ,Particuli,Particuli,1,HF -Aiguel
IA,,Appartement,"18,44",39000,Particulier,Particulier,03/01/2008,CE -La Chamberte,Apparteme,Particuli,Particuli,1,CE -La Cha
IA,,Appartement et annexes,"68,58",125000,Particulier,,03/01/2008,CE -La Martelle,Apparteme,Particuli,,1,CE -La Mar
IA,199,Immeuble,420,690000,SCI,Particulier,24/01/2008,MC -Gambetta,Immeuble,SCI,Particuli,1,MC -Gambet
IA,,Appartement et annexes,51,205000,,Particulier,21/01/2008,MC -Boutonnet,Apparteme,,Particuli,1,MC -Bouton
IA,,Appartement,45,84000,Particulier,Particulier,17/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Local professionnel,"17,97",44160,SCI,Particulier,16/01/2008,MO -Hauts de Massane,Local pro,SCI,Particuli,1,MO -Hauts 
IA,,Appartement et annexes,"19,07",70000,Particulier,Particulier,03/01/2008,MC -Centre Historique,Apparteme,Particuli,Particuli,1,MC -Centre
IA,,Appartement et annexes,"72,8",135000,Particulier,Particulier,09/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,,Appartement et annexes,"92,65",129600,Particulier,Particulier,09/01/2008,MO -La Paillade,Apparteme,Particuli,Particuli,1,MO -La Pai
IA,432,Appartement,"51,15",130000,Particulier,Particulier,14/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,432,Appartement,"137,95",270000,Particulier,Particulier,14/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,,Appartement et annexes,"43,1",116000,Particulier,Particulier,08/01/2008,CA -Croix d'Argent,Apparteme,Particuli,Particuli,1,CA -Croix 
IA,,Appartement et annexes,"65,58",131000,Particulier,Particulier,09/01/2008,CA -Lemasson,Apparteme,Particuli,Particuli,1,CA -Lemass
IA,,Appartement,"79,11",112000,Particulier,Particulier,09/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,,Appartement et annexes,"40,4",95000,Particulier,Particulier,08/01/2008,CE -Alco,Apparteme,Particuli,Particuli,1,CE -Alco
IA,,Garage,,13600,Particulier,Particulier,08/01/2008,CE -Les Cévennes,Garage,Particuli,Particuli,1,CE -Les Cé
IA,,Appartement et annexes,"49,9",186000,SCI,Particulier,08/01/2008,HF -Plan des quatre Seigneurs,Apparteme,SCI,Particuli,1,HF -Plan d
IA,,Appartement et annexes,"75,19",126000,Particulier,Particulier,08/01/2008,HF -Hopitaux Facultés,Apparteme,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,"62,62",172000,Particulier,Particulier,08/01/2008,CA -Lemasson,Apparteme,Particuli,Particuli,1,CA -Lemass
IA,,Appartement et annexes,"70,45",130000,Particulier,Particulier,15/01/2008,CE -Les Cévennes,Apparteme,Particuli,Particuli,1,CE -Les Cé
IA,,Appartement,"63,82",142000,SCI,Particulier,15/01/2008,MC -Gares,Apparteme,SCI,Particuli,1,MC -Gares
IA,,Appartement et annexes,"40,31",80000,Particulier,Particulier,08/01/2008,CE -La Chamberte,Apparteme,Particuli,Particuli,1,CE -La Cha
IA,,Appartement et annexes,"78,77",150000,Particulier,Particulier,08/01/2008,CE -La Chamberte,Apparteme,Particuli,Particuli,1,CE -La Cha
IA,,Appartement et annexes,"75,33",128000,Particulier,Particulier,07/01/2008,CA -Lemasson,Apparteme,Particuli,Particuli,1,CA -Lemass
IA,,Appartement,"77,03",99000,Particulier,Particulier,07/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,,Appartement et annexes,52,120000,Particulier,SCI,07/01/2008,PM -Port Marianne,Apparteme,Particuli,SCI,1,PM -Port M
IA,,Appartement,"78,87",114000,Particulier,Particulier,07/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,,Appartement et annexes,"62,98",120000,Particulier,Particulier,07/01/2008,CE -Alco,Apparteme,Particuli,Particuli,1,CE -Alco
IA,,Appartement,25,81000,Particulier,,07/01/2008,CE -Alco,Apparteme,Particuli,,1,CE -Alco
IA,,Appartement,"21,93",39000,Particulier,Particulier,09/01/2008,CE -La Chamberte,Apparteme,Particuli,Particuli,1,CE -La Cha
IA,,Cave,,2000,Particulier,Particulier,10/01/2008,HF -Hopitaux Facultés,Cave,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,"33,78",110000,Particulier,SCI,10/01/2008,CE -Alco,Apparteme,Particuli,SCI,1,CE -Alco
IA,,Appartement et annexes,"64,07",160000,Particulier,,10/01/2008,CE -Alco,Apparteme,Particuli,,1,CE -Alco
IA,,Appartement et annexes,"75,12",125000,Particulier,Particulier,09/01/2008,CA -Estanove,Apparteme,Particuli,Particuli,1,CA -Estano
IA,,Appartement et annexes,"199,05",470000,Particulier,Particulier,10/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,,Garage,,11500,Particulier,Particulier,10/01/2008,HF -Hopitaux Facultés,Garage,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,"30,96",107500,Particulier,Particulier,10/01/2008,HF -Hopitaux Facultés,Apparteme,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,66,138000,Particulier,Particulier,10/01/2008,CA -Lemasson,Apparteme,Particuli,Particuli,1,CA -Lemass
IA,,Appartement et annexes,"56,01",71000,Particulier,Particulier,10/01/2008,CE -Les Cévennes,Apparteme,Particuli,Particuli,1,CE -Les Cé
IA,,Appartement et annexes,"21,73",69500,Particulier,Particulier,08/01/2008,PM -Port Marianne,Apparteme,Particuli,Particuli,1,PM -Port M
IA,,Appartement et annexes,"37,16",108000,SCI,Particulier,15/01/2008,CA -Lemasson,Apparteme,SCI,Particuli,1,CA -Lemass
IA,,Appartement et annexes,"63,22",130000,Particulier,Particulier,08/01/2008,CE -La Chamberte,Apparteme,Particuli,Particuli,1,CE -La Cha
IA,,Appartement et annexes,"68,47",150000,Particulier,Particulier,08/01/2008,PA -Aiguerelles,Apparteme,Particuli,Particuli,1,PA -Aiguer
IA,,Appartement et annexes,"57,23",165000,Particulier,Particulier,07/01/2008,CE -Les Cévennes,Apparteme,Particuli,Particuli,1,CE -Les Cé
IA,,Appartement et annexes,"79,19",160000,Particulier,Particulier,11/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement et annexes,"75,61",145000,Particulier,Particulier,11/01/2008,CE -Les Cévennes,Apparteme,Particuli,Particuli,1,CE -Les Cé
IA,,Appartement,"19,75",73000,Particulier,Particulier,11/01/2008,PM -Port Marianne,Apparteme,Particuli,Particuli,1,PM -Port M
IA,,Appartement et annexes,"34,15",110000,Particulier,Particulier,07/01/2008,PM -Port Marianne,Apparteme,Particuli,Particuli,1,PM -Port M
IA,,Appartement et annexes,"67,7",158000,Particulier,Particulier,07/01/2008,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,,Local commercial,40,40000,Particulier,Particulier,07/01/2008,PA -Saint Martin,Local com,Particuli,Particuli,1,PA -Saint 
IA,,Appartement et annexes,34,120000,Particulier,,09/01/2008,HF -Aiguelongue,Apparteme,Particuli,,1,HF -Aiguel
IA,,Appartement et annexes,"34,35",64000,Particulier,Particulier,09/01/2008,CE -Alco,Apparteme,Particuli,Particuli,1,CE -Alco
IA,,Local ,330,808496,SEM,,09/01/2008,,Local ,SEM,,1,
IA,,Appartement et annexes,"64,69",103000,Particulier,Particulier,07/01/2008,MO -La Paillade,Apparteme,Particuli,Particuli,1,MO -La Pai
IA,166,Villa,90,180000,Particulier,Particulier,10/01/2008,CE -La Martelle,Villa,Particuli,Particuli,1,CE -La Mar
IA,187,Villa,,260000,Particulier,Particulier,09/01/2008,HF -Aiguelongue,Villa,Particuli,Particuli,1,HF -Aiguel
IA,,Villa,"83,4",205000,Particulier,Particulier,11/01/2008,CA -Estanove,Villa,Particuli,Particuli,1,CA -Estano
IA,487,Villa,120,450000,Particulier,Particulier,11/01/2008,PM -Pompignane,Villa,Particuli,Particuli,1,PM -Pompig
IA,,Appartement,"18,56",65000,Particulier,SCI,11/01/2008,MC -Centre Historique,Apparteme,Particuli,SCI,1,MC -Centre
IA,,Appartement et annexes,"68,83",160000,Particulier,,17/01/2008,MC -Comédie,Apparteme,Particuli,,1,MC -Comédi
IA,,Appartement,"9,02",45000,Particulier,Particulier,14/01/2008,MC -Comédie,Apparteme,Particuli,Particuli,1,MC -Comédi
IA,,Appartement et annexes,"35,35",90000,Particulier,Particulier,14/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement,115,450000,Particulier,Particulier,14/01/2008,MC -Centre Historique,Apparteme,Particuli,Particuli,1,MC -Centre
IA,,Appartement,"40,01",147000,Particulier,,14/01/2008,MC -Comédie,Apparteme,Particuli,,1,MC -Comédi
IA,,Appartement,"24,62",45000,Particulier,,15/01/2008,MC -Centre Historique,Apparteme,Particuli,,1,MC -Centre
IA,,Local commercial,"58,93",240000,Particulier,Particulier,17/01/2008,MC -Centre Historique,Local com,Particuli,Particuli,1,MC -Centre
IA,,Appartements 2 et +,"78,86",192000,Particulier,Particulier,17/01/2008,MC -Centre Historique,Apparteme,Particuli,Particuli,1,MC -Centre
IA,,Appartement,"44,2",100000,Particulier,Particulier,16/01/2008,MC -Centre Historique,Apparteme,Particuli,Particuli,1,MC -Centre
IA,,Appartement et annexes,31,57500,Particulier,Particulier,11/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartement et annexes,"28,1",64500,Particulier,Particulier,21/01/2008,HF -Hopitaux Facultés,Apparteme,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,"82,8",147000,Particulier,Particulier,18/01/2008,CE -Alco,Apparteme,Particuli,Particuli,1,CE -Alco
IA,,Appartement,"32,91",104000,Particulier,Particulier,11/01/2008,MC -Les Arceaux,Apparteme,Particuli,Particuli,1,MC -Les Ar
IA,,Garage,,15000,Particulier,Particulier,11/01/2008,MC -Les Arceaux,Garage,Particuli,Particuli,1,MC -Les Ar
IA,,Appartement,"59,01",163000,Particulier,,11/01/2008,MC -Gambetta,Apparteme,Particuli,,1,MC -Gambet
IA,,Appartement,"17,07",57000,Particulier,Particulier,17/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"63,81",184500,Particulier,Particulier,17/01/2008,MC -Les Arceaux,Apparteme,Particuli,Particuli,1,MC -Les Ar
IA,,Appartement,"35,95",64500,Particulier,Particulier,17/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartements 2 et +,"59,05",185000,Particulier,Particulier,16/01/2008,MC -Les Arceaux,Apparteme,Particuli,Particuli,1,MC -Les Ar
IA,,Appartement,"45,14",128000,Particulier,Particulier,16/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartement et annexes,"60,56",205000,SCI,Particulier,16/01/2008,MC -Boutonnet,Apparteme,SCI,Particuli,1,MC -Bouton
IA,,Appartement et annexes,"13,4",71000,Particulier,Particulier,16/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"75,69",140000,Particulier,Particulier,16/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,44,137000,Particulier,Particulier,15/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement et annexes,52,90000,Particulier,SACI-SCCV,14/01/2008,MC -Gambetta,Apparteme,Particuli,SACI-SCCV,1,MC -Gambet
IA,,Appartement et annexes,"77,19",273000,Particulier,Particulier,14/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"56,64",140000,Particulier,Particulier,14/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Garage,31,500000,SCI,Particulier,07/01/2008,MC -Gares,Garage,SCI,Particuli,1,MC -Gares
IA,,Appartement,"69,27",209000,Particulier,Particulier,14/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement,20,74000,Particulier,Particulier,14/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartement et annexes,"34,95",115000,Particulier,Particulier,18/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Local commercial,65,160000,SCI,Particulier,14/01/2008,MC -Gares,Local com,SCI,Particuli,1,MC -Gares
IA,,Parking,,57000,Particulier,SCI,14/01/2008,MC -Les Arceaux,Parking,Particuli,SCI,1,MC -Les Ar
IA,,Appartement et annexes,"30,77",63000,Particulier,Particulier,14/01/2008,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement et annexes,"141,85",355000,Particulier,Particulier,15/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartement et annexes,"33,45",125000,Particulier,Particulier,15/01/2008,MC -Antigone,Apparteme,Particuli,Particuli,1,MC -Antigo
IA,,Appartement et annexes,"96,7",247000,Particulier,,15/01/2008,MC -Les Beaux Arts,Apparteme,Particuli,,1,MC -Les Be
IA,,Appartement,"39,11",135000,Particulier,Particulier,17/01/2008,MC -Comédie,Apparteme,Particuli,Particuli,1,MC -Comédi
IA,,Appartement et annexes,"59,17",135000,Particulier,Particulier,17/01/2008,MC -Gambetta,Apparteme,Particuli,Particuli,1,MC -Gambet
IA,,Appartement et annexes,"68,08",175000,Particulier,,17/01/2008,MC -Boutonnet,Apparteme,Particuli,,1,MC -Bouton
IA,,Appartement et annexes,"37,41",121000,SCI,Particulier,11/01/2008,MC -Gares,Apparteme,SCI,Particuli,1,MC -Gares
IA,,Appartement et annexes,"68,71",145000,Particulier,Particulier,17/01/2008,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
