NomAsso,Tel_Asso,Fax_Asso,Mail_Asso,INTERNET,Domaine,Sous-Domaine,Sigle,Adresse,Code_Quartier,Code_Sous_Quartier,Circonscription,Canton,Code_Postal,Longitude,Latitude
Académie des Sciences et des Lettres de Montpellier,,,philippe.viallefont@wanadoo.fr,,SCIENCES,DIVERS SCIENCES,,10  RUE DE LA VALFERE,07,26,2,10,34000,"3,872933446","43,610458084"
Academie Do Contact Tae Kwon Do Sambo,,,academy.docontact@yahoo.fr,http://www.docontact.fr,SPORTS,ARTS MARTIAUX,DO CONTACT,16  IMPASSE LOUIS MARRES,,,,,,,
Académie Internationale de Musique de Montpellier,04 67 60 87 11,,contact@aimm.tv,http://www.aimm.tv,CULTURE,MUSIQUE,AIMM,10  RUE DU BAYLE,07,26,1,01,34000,"3,874952715","43,610366864"
Académie Sportive Montpellieraine de Billard,06 14 62 71 97,,celine.mikunda@yahoo.fr,,SPORTS,DIVERS SPORTS,ASMBZ,38  RUE METAIRIE DE SAYSSET,05,16,1,05,34070,"3,890353913","43,593593237"
Accès Services à Domicile,04 67 65 61 65,04 67 22 19 48,acces-services@wanadoo.fr,,SOCIAL ET CITOYENNETE,AIDE A DOMICILE,,1209  AVENUE DE MAURIN,04,12,1,06,34070,"3,875575968","43,594085729"
Accompagnement de la Grossesse et de la Naissance,,,association.agn.international@gmail.com,association-agn-international.fr,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,AGN,5  RUE FRANCOIS PERIER,07,31,1,04,34070,"3,88601582","43,60559973"
Accompagnement Vers la Vie Active,,,marianne-leroy@wanadoo.fr,www.lavieactive.com,INTERNATIONAL,CULTURE ETRANGERE,AVA,4  RUE ROUCHER,07,26,1,01,34000,"3,873958345","43,608741785"
Accordanse,,,accordanse@hotmail.fr,,SPORTS,DANSE,,50  RUE DES OULETTES,03,09,4,08,34070,"3,836877963","43,598543431"
Accordéon Club Montpelliérain,04 67 60 73 49,,,,CULTURE,MUSIQUE,,21  BOULEVARD SARRAIL,07,27,1,01,34000,"3,880423022","43,610316191"
Accro'Jeux,,,accrojeux@accrojeux.org,www.accrojeux.org,LOISIRS,JEUX,,27  RUE DES DEUX PONTS,07,31,1,04,34000,"3,880661661","43,604040301"
Accueil et Confort Pour Personnes Agées,04 67 02 37 37,04 67 02 37 00,,,SOCIAL ET CITOYENNETE,TROISIEME AGE,ACPPA,13  RUE DE NAZARETH,07,24,3,03,34090,"3,881695643","43,622160935"
Accueil Médiation Informations Services,,,assoamis@yahoo.fr,,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,AMIS,2 BIS RUE DES CATALPAS,05,15,1,05,34070,"3,883881168","43,592085405"
Accueil Médiation Informations Services,,,assoamis@yahoo.fr,,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,AMIS,2 BIS RUE DES CATALPAS,05,15,1,05,34070,"3,883984297","43,592234249"
Accueil-Service,04 67 58 62 97,,,,SOCIAL ET CITOYENNETE,SOLIDARITE,,5  RUE GENERAL CAMPREDON,07,30,1,01,34000,"3,873491401","43,606400117"
Acte Chanson,04 67 04 08 61,,actchanson@free.fr,http://www.actechanson.fr,CULTURE,MUSIQUE,,409  AVENUE ABBE PAUL PARGUEL,01,02,2,02,34090,"3,859539178","43,635731475"
Action Catholique des Enfants de l'Hérault,04 67 79 03 60,,,,EDUCATION,MOUVEMENT JEUNESSE,ACE,6  RUE VAL MARIE,07,18,1,04,34000,"3,889648595","43,618674058"
Action Chrétiens pour l'Abolition de la Torture,04 67 92 37 32,,a.f.baccuet@free.fr,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,ACAT,11  RUE DU PROFESSEUR TEDENAT,03,10,4,08,34070,"3,851691331","43,607826246"
Action Contre la Faim Délégation de Montpellier,,,acfmontpellier@yahoo.fr,http://www.actioncontrelafaim.org,INTERNATIONAL,SOLIDARITE INTERNATIONALE,ACF,27  BOULEVARD LOUIS BLANC,07,24,3,03,34000,"3,880265529","43,614485642"
Action d'Urgence Internationale,04 67 27 06 09,04 67 27 03 59,info@aui-org.org,http://www.aui-ong.org,SOCIAL ET CITOYENNETE,SOLIDARITE,AUI,1401  RUE DE FONT COUVERTE,04,11,4,08,34070,"3,852415251","43,593577425"
Action Ethique Humanitaire,,,actionethiquehumanitaire@orange.fr,www.centreethique.com,INTERNATIONAL,SOLIDARITE INTERNATIONALE,AEH,15  RUE CITE SAINT ROCH,05,16,1,04,34070,"3,88982047","43,602788828"
Action Musique - Opéra Junior,04 67 58 04 89,04 67 58 36 54,info@opera-junior.com,www.opera-junior.com,CULTURE,MUSIQUE,,43  PLACE VAUBAN,07,27,3,03,34000,"3,885227404","43,610102077"
Action pour la Santé l' Alimentation et le Développement,,,asadfrance@yahoo.fr,www.asad-asso.org,INTERNATIONAL,SOLIDARITE INTERNATIONALE,ASAD,421  RUE DE L'AGATHOIS,02,04,2,09,34080,"3,824556518","43,63171951"
Activités Physiques de Pleine Nature-UFOLEP 34,04 67 54 02 02,,,http://www.ufolep34.org,SPORTS,DIVERS SPORTS,UFOLEP,200  AVENUE DU PERE SOULAS,07,23,2,10,34090,"3,865483532","43,618226162"
ADAGES,04 67 10 40 00,,accueil.siegesocial@adages.net,http://www.adages.net,SOCIAL ET CITOYENNETE,HANDICAP,ADAGES,1925  RUE SAINT-PRIEST,01,02,2,10,34090,"3,830243232","43,639333608"
ADEQV Quartiers Petit Bard Pergola,04 67 03 25 11,,adeqv@hotmail.com,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,ADEQV,4  ALLEE FRANCOISE SAGAN,,,,,,,
Adhérence Nature 34,04 67 27 33 07,,,http://adn34.free.fr,SPORTS,SPORTS DE MONTAGNE,,85  RUE CHARLES VANEL,04,14,1,06,34070,"3,862311007","43,589503745"
ADIL de l'Hérault,04 67 55 55 32,04 67 10 39 29,id.adil34@orange.fr,http://www.adil34.org,ENVIRONNEMENT ET CADRE DE VIE,HABITAT ET LOGEMENT,ADIL,4 BIS RUE RONDELET,07,30,1,01,34000,"3,874759339","43,604367586"
ADIL de l'Hérault,04 67 55 55 32,04 67 10 39 29,id.adil34@orange.fr,http://www.adil34.org,ENVIRONNEMENT ET CADRE DE VIE,HABITAT ET LOGEMENT,ADIL,4 BIS RUE RONDELET,07,30,1,01,34000,"3,874723872","43,604208326"
ADMR Aide à Domicile en Milieu Rural,04 67 20 75 75,04 67 20 75 93,info.fede34@admr.org,http://www.admr.org,SOCIAL ET CITOYENNETE,AIDE A DOMICILE,ADMR,265  AV DES ETATS DU LANGUEDOC,07,27,3,03,34000,"3,884823622","43,607757649"
Aenea,,,aenea@online.fr,,SPORTS,YOGA,,14  RUE SAINTE URSULE,07,26,1,01,34000,"3,878400717","43,613881124"
AFM Coordination Téléthon,04 67 10 06 00,,telethon34e@afm.genethon.fr,,SOCIAL ET CITOYENNETE,HANDICAP,AFM,386  QUAI LOUIS LE VAU,02,06,2,10,34080,"3,822822606","43,614607003"
Africa Djémeya,,,africadjemeya@laposte.net,http://www.africa-djemeya.net,INTERNATIONAL,CULTURE ETRANGERE,,30  R FONTAINE ST BERTHOMIEU,07,29,4,08,34070,"3,860546536","43,604018714"
Afrokaliptyk,04 67 92 25 78,,,http://www.afrofanga.com,CULTURE,DIVERS CULTURE,,2 BIS RUE LEGENDRE-HERAIL,07,29,2,07,34070,"3,864249211","43,605768037"
Agglomeration Montpellier Sports d'Orientation de l'Hérault,04 67 86 28 81,04 67 79 06 61,raouxpie@yahoo.fr,http://www.sportnat.com/msorientation,SPORTS,COURSE A PIED ET ORIENTATION,AMSO34,0  ALLEE ALEGRIA BERACASA,07,28,3,03,34000,"3,896417157","43,610924337"
Agir ensemble contre le chômage,04 67 22 32 95,,assezetvous.montpellier@yahoo.fr,,SOCIAL ET CITOYENNETE,SOLIDARITE,AC,474  ALL HENRI II MONTMORENCY,07,28,3,03,34000,"3,888759237","43,610157859"
"Agir, Lire, Coordonner, Intervenir - ALCI 34",04 67 45 49 37,04 67 40 53 44,contact@alci-educ.org,www.alci-educ.org,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,ALCI,410  AVENUE DE BARCELONE,02,05,2,09,34080,"3,817600702","43,624384843"
Agronomes et Vétérinaires sans Frontières,,,jeanclaude.cibert@free.fr,http://www.avsf.org,AGRICULTURE ET VITICULTURE,AGRICULTURE ET VITICULTURE,AVSF,15  RUE DE VILLEFRANCHE,07,24,3,03,34000,"3,878812955","43,616042399"
Ah ! Muse Gueule,04 67 04 49 36,,cathyvoilier@aol.com,http://www.tika-chante.fr.fin,CULTURE,MUSIQUE,,1037  AVENUE DU PERE SOULAS,03,07,2,10,34090,"3,856378774","43,621313935"
Ahi Na Ma,,,contact-ahinama@yahoo.fr,http://www.ahinama.fr,CULTURE,DANSE,,2  IMPASSE MAILLAC,07,26,1,01,34000,"3,877118242","43,612832502"
Aide à la Réinsertion Sociale,04 67 75 04 65,,ars34mtp@yahoo.fr,,SOCIAL ET CITOYENNETE,HANDICAP,ARS,100  RUE LEJZER ZAMENHOF,02,06,2,09,34080,"3,825976196","43,61575714"
Aide à la Vie Quotidienne à Domicile,04 67 58 53 65,04 67 92 20 45,avq.entourage@gammes.org,,SOCIAL ET CITOYENNETE,AIDE A DOMICILE,GAMMES,3 BIS RUE SAINT BARTHELEMY,07,30,1,01,34000,"3,87380034","43,605221347"
Aide aux Cancers et Leucémies chez l'Enfant - La Clé,04 67 50 28 36,04 67 50 28 31,lacleperols@aol.com,http://www.lacle.asso.fr,SANTE,AIDE AUX MALADES,LA CLE,354  ROUTE DE GANGES,01,02,2,02,34090,"3,855588839","43,630386978"
Aide aux Personnes Gay et Bisexuelles,04 67 66 79 33,,APGB34@hotmail.fr,,SOCIAL ET CITOYENNETE,CONDITION FEMININE MASCULINE,APGB34,6  IMPASSE PARAN,07,26,1,01,34000,"3,874144305","43,609402659"
Aide Family,,,aidefamily@laposte.net,,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,,41  RUE CHATEAUBRIAND,03,10,4,08,34070,"3,843464572","43,600326419"
Aide Plus 34,,,t.coyette@free.fr,,SOCIAL ET CITOYENNETE,SOLIDARITE,,286  AVENUE JACQUES CARTIER,07,28,3,03,34000,"3,894381106","43,606530732"
Aider - Asso Installation à Domicile des Equations Rénales,04 67 10 22 10,04 67 52 20 91,,http://www.aider.asso.fr,SANTE,AIDE AUX MALADES,AIDER,746  RUE DE LA CROIX DE LAVIT,01,02,2,10,34090,"3,837985658","43,640556359"
Aides Montpellier,04 67 34 03 76,04 67 34 03 78,aidesmontpellier@wanadoo.fr,http://aides.org,SANTE,AIDE AUX MALADES,AIDES,300  RUE AUGUSTE BROUSSONNET,07,23,2,02,34090,"3,870580564","43,616463538"
Aikiciam,,,thierry.cartaut@gmail.com,http://www.aikiciam.com,SPORTS,ARTS MARTIAUX,,37  RUE CHAPTAL,07,30,1,01,34000,"3,868795306","43,604265968"
Aikido Club Montpellier,04 99 62 09 91,,alaintendron@gmail.com,http://aikido.montpellier@free.fr,SPORTS,ARTS MARTIAUX,ACM,5  BOULEVARD RENOUVIER,07,30,1,01,34000,"3,867628871","43,605137079"
Aikikan Dojo,04 67 69 29 29,,guycarriere@orange.fr,http://www.aikikan.net,SPORTS,ARTS MARTIAUX,,365  COUR LIBERAL BRUANT,,,,,,,
Ailerons,,,aqua_nic.ziani@yahoo.fr,,ENVIRONNEMENT ET CADRE DE VIE,DIVERS ENVIRONNEMENT,,6  RUE DES AVANT-MONTS,03,07,2,07,34080,"3,844179458","43,62209734"
Aipals - Médecine du Travail,04 67 06 20 10,04 67 58 77 16,,,SANTE,DIVERS SANTE,AIPALS,429  RUE DE L'INDUSTRIE,05,17,1,05,34070,"3,88337561","43,586957683"
AIR Languedoc-Roussillon,04 67 15 96 60,,info@air-lr.asso.fr,http://www.air-lr.asso.fr/,ENVIRONNEMENT ET CADRE DE VIE,DIVERS ENVIRONNEMENT,AIR LR,3  PLACE PAUL BEC,07,28,3,03,34000,"3,886230527","43,607980427"
Airtscene Asso D'Initiation au Spectacle et à la Scène,,,airtscene.asso@laposte.net,,CULTURE,DIVERS CULTURE,,26  RUE GENERAL RIU,07,31,1,04,34000,"3,880903773","43,603739924"
Akwaba,06 21 93 85 87,,kandyshow34@yahoo.fr,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,,151  AVENUE DU PONT TRINQUAT,05,16,1,05,34070,"3,886628088","43,600581654"
Al-Anon-Alateen Groupes Familiaux,04 67 34 05 22,,,http://www.al-anon.alatteen.fr,SANTE,ALCOOLISME ET TOXICOMANIE,AL-ANON,39  RUE FRANCOIS D'ORBAY,02,06,2,10,34080,"3,825934409","43,61455231"
Alaplatja,09 50 43 27 87,,contact@alaplatja.org,,SOCIAL ET CITOYENNETE,HANDICAP,,42  RUE ADAM DE CRAPONNE,07,29,1,01,34000,"3,866430972","43,605449808"
Alaplatja,09 50 43 27 87,,contact@alaplatja.org,,SOCIAL ET CITOYENNETE,HANDICAP,,42  RUE ADAM DE CRAPONNE,07,29,1,01,34000,"3,866325488","43,605381583"
Alaplatja,09 50 43 27 87,,contact@alaplatja.org,,SOCIAL ET CITOYENNETE,HANDICAP,,42  RUE ADAM DE CRAPONNE,07,29,1,01,34000,"3,866526204","43,605511102"
Alcool Assistance La Croix d'Or de l'Hérault,07 70 80 70 90,,alcool.assistance.34@gmail.com,http://www.alcoolassistance.net,SANTE,ALCOOLISME ET TOXICOMANIE,,283  RUE DU PRE AUX CLERCS,07,23,3,03,34090,"3,875023574","43,624443831"
Alcool et les Proches,,,alp34@laposte.net,www.alp34.com,SANTE,ALCOOLISME ET TOXICOMANIE,ALP,0  AVENUE AUGUSTIN FLICHE,,,,,,,
Alger Club Les Enfants Les Amis,04 67 27 84 85,,,,RAPATRIES,RAPATRIES,,31  RUE EMILE CHARTIER (ALAIN),04,12,1,06,34070,"3,869777877","43,595419502"
Aliore Les Ateliers Autour du Monde,09 51 79 79 72,,infos@aliore.org,,LOISIRS,TOURISME,,16  RUE DE L'UNIVERSITE,07,26,1,01,34000,"3,876767701","43,612511001"
Alliance des Artistes Chinois de Montpellier,,,aartistescf@voila.fr,,INTERNATIONAL,CULTURE ETRANGERE,AACF,9  BOULEVARD LEDRU-ROLLIN,07,26,2,10,34000,"3,872801218","43,609198905"
Alliance des Musulmans de Languedoc Roussillon,,,assoc_alliance_musulman@gmx.fr,,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,AMLR,110  RUE CLAUDE BERTHOLLET,01,02,2,10,34090,"3,839147563","43,636320521"
Alliance Mondiale Contre Le Cancer,04 67 61 85 92,,france.amcc@yahoo.fr,http://www.inctr.org,SANTE,RECHERCHE,AMCC,208  AVENUE DES APOTHICAIRES,01,02,2,10,34090,"3,840662421","43,64412766"
Alliance pour le Combat du Peuple Animal,04 67 45 04 30,,,,ANIMAUX,ANIMAUX, ACPA,1065  RUE CROIX DE FIGUEROLLES,03,10,4,08,34070,"3,841400771","43,604411144"
"Allo Papa, Allo Maman",04 67 79 66 81,,,http://www.allopapaallomaman.com,SOCIAL ET CITOYENNETE,ENFANCE ET JEUNESSE,APAM,2065  ROUTE DE LAVERUNE,04,13,4,08,34070,"3,838465855","43,596654246"
Allo Parents Montpellier,04 67 61 08 43,,alloparentsmontpellier@live.fr,,EDUCATION,DIVERS EDUCATION,,4  RUE DES ROCHES ROUGES,03,07,2,09,34080,"3,834225818","43,618573679"
Allons'z'Enfants - Cie Didier Théron,04 67 03 38 22,04 67 03 38 37,cie.didiertheron@wanadoo.fr,didiertheron.com,CULTURE,DANSE,,155  RUE DE BOLOGNE,02,05,2,09,34080,"3,817523522","43,62842652"
ALMA-HERAULT,04 67 04 28 50,,alma.herault@wanadoo.fr,,SOCIAL ET CITOYENNETE,TROISIEME AGE,ALMA,1  RUE TURGOT,,,,,,,
Alter Brasil,04 67 02 26 13,,alter.brasil@hotmail.com,www.alterbrasil.org,INTERNATIONAL,SOLIDARITE INTERNATIONALE,,27  BOULEVARD LOUIS BLANC,07,24,3,03,34000,"3,880265529","43,614485642"
Amassa,04 67 42 31 96,,amassa@hotmail.fr,,SOCIAL ET CITOYENNETE,HANDICAP,,29  RUE DE LA MEDITERRANEE,07,31,1,04,34070,"3,884659747","43,605148444"
Äme Tao,04 67 81 95 52,,habuda.s@free.fr,www.ametao.org,SPORTS,YOGA,,62  RUE GEORGES BRAQUE,06,22,1,04,34000,"3,904227832","43,60175359"
American Field Service Vivre Sans Frontières,,,matomari@sfr.fr,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,AFS-VSF,140  RUE DU PIOCH DE BOUTONNET,07,24,3,03,34090,"3,877427522","43,622094609"
American Women's Group,,,awg.grapevine@gmail.com,,INTERNATIONAL,CULTURE ETRANGERE,AWG,247  RUE ROBERT CAPA,01,02,2,10,34090,"3,840879708","43,642513208"
Amicale Arménienne de Montpellier et sa Région,04 67 54 52 10,,aam@halk34.org,http://www.halk34.org,INTERNATIONAL,CULTURE ETRANGERE,AAM,488  AVENUE DU PERE SOULAS,07,23,2,10,34090,"3,862255384","43,618973449"
Amicale Belabbésienne d'Aide et Solidarité,04 67 27 81 48,,tolédo.suzanne@neuf.fr,,RAPATRIES,RAPATRIES,LABAS,31  RUE EMILE CHARTIER (ALAIN),04,12,1,06,34070,"3,869777877","43,595419502"
Amicale Boules La Paillade,04 67 40 50 82,,florian34@neuf.fr,,SPORTS,PETANQUE,,0  PLACE ROBERT SCHUMAN,,,,,,,
Amicale de Soutien Ecole Tour des Pins,04 67 60 51 83,,,,EDUCATION,PARENTS D'ELEVES,,1  DESCENTE EN BARRAT,,,,,,,
"Amicale des Alsaciens et Lorrains, Gens de L'Est de l'Hérault",04 67 86 60 47,,,,CULTURE,CULTURES REGIONALES,,283  AVENUE DU PONT TRINQUAT,05,16,1,05,34070,"3,887903096","43,599992475"
Amicale des Anciens Boulangers Retraités Hérault,04 67 06 20 30,,,,SOCIAL ET CITOYENNETE,TROISIEME AGE,AABRH,429  RUE DE L'INDUSTRIE,05,17,1,05,34070,"3,88337561","43,586957683"
Amicale des Anciens de la 2éme DB de l'Hérault et du Gard,04 67 51 17 88,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,,520  RUE DE SAINT HILAIRE,05,16,1,05,34070,"3,893335511","43,592733426"
Amicale des Anciens de l'Armée de l'Air de l'Hérault,04 67 86 46 22,,anciens.armee.air@free.fr,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,AAAA,4  RUE DES JACINTHES,05,15,1,05,34070,"3,881078083","43,59486003"
Amicale des Anciens du Maroc en Languedoc,04 67 47 58 85,,,,RAPATRIES,RAPATRIES,AAML,31  RUE EMILE CHARTIER (ALAIN),04,12,1,06,34070,"3,869777877","43,595419502"
Amicale des Anciens du Quartier Saint François,04 67 64 27 60,,deleuze.robert@club-internet.fr,,LOISIRS,ANIMATIONS,AAQSF,28  RUE GENERAL RIU,07,31,1,04,34000,"3,880454629","43,603440578"
Amicale des Aveyronnais de Montpellier,,,contact@amicaledesaveyronnaisdemontpellier.com,http://www.amicaledesaveyronnaisdemontpellier.com,CULTURE,CULTURES REGIONALES,AAM,350  AV DU MARECHAL LECLERC,05,15,1,05,34070,"3,882184336","43,595888815"
Amicale des Catalans de Montpellier - El Canigo,04 67 86 52 78,,,htpp://www.catalansdemontpellier.vefblog.net,CULTURE,CULTURES REGIONALES,EL CANIGO,6  RUE DES BOUGAINVILLEES,04,11,2,07,34070,"3,856600354","43,592124446"
Amicale des Chtimis de Montpellier et Environ,04 67 72 68 03,,chtimis@wanadoo.fr,http://www.chti-mis.monsite.orange.fr,CULTURE,CULTURES REGIONALES,,60  RUE PHILIPPE CASTAN,01,03,3,03,34090,"3,888102198","43,627182487"
Amicale des Corses de Montpellier,04 67 54  33 09,,corse.montpellier@gmail.com,www.gestasso.com/association/corsemontpellier/,CULTURE,CULTURES REGIONALES,ADCM,6  RUE DES HOSPICES,07,23,2,02,34090,"3,864065514","43,623402264"
Amicale des Locataires de Montpellier CGL,04 67 45 16 08,,,,ENVIRONNEMENT ET CADRE DE VIE,HABITAT ET LOGEMENT,,560  AVENUE DE LOUISVILLE,02,05,2,09,34080,"3,815751616","43,626341874"
Amicale des Locataires des Villageoises,,,,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,,74  RUE ARISTIDES DE SOUSA MENDES,04,13,4,08,34070,"3,83857776","43,595345313"
Amicale des Locataires du Pas-du-Loup,,,pasduloup@hotmail.com,,ENVIRONNEMENT ET CADRE DE VIE,HABITAT ET LOGEMENT,CNL,19  RUE DES MANGUIERS,04,13,4,08,34070,"3,848202847","43,601234545"
Amicale des Locataires Petit et Grand Mercure,06 10 08 35 27,,,,ENVIRONNEMENT ET CADRE DE VIE,HABITAT ET LOGEMENT,CNL,164  AVENUE DE BARCELONE,02,05,2,09,34080,"3,817530031","43,622136975"
Amicale des Lozériens de Montpellier,04 67 84 01 10,,robert-martin34@orange.fr,,CULTURE,CULTURES REGIONALES,,3  RUE CHAMAYOU,07,23,2,02,34090,"3,873081975","43,618243969"
Amicale des Nageurs Sauveteurs de Montpellier,04 67 46 36 82,,a-r@planetis.com,,SPORTS,NATATION ET PLONGEE,ANSM,10  RUE HENRI BARBUSSE,07,29,2,07,34070,"3,864570973","43,603385184"
Amicale des Personnels de la Police de Montpellier,04 99 13 50 00,,,,ENTREPRISE ET TRAVAIL,OEUVRES SOCIALES ENTREPRISES,APPM,206  RUE DU COMTE DE MELGUEIL,,,,,,,
Amicale des Résidents et Amis de la Rue Pierre d'Auvergne,04 67 45 41 04,,mblaud@club-internet.fr,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,ARPA,26  RUE PIERRE D'AUVERGNE,02,04,2,09,34080,"3,819427699","43,635124066"
Amicale des Retraités Municipaux,04 67 70 48 16,,,,SOCIAL ET CITOYENNETE,TROISIEME AGE,,1  PLACE FRANCIS PONGE,07,27,3,03,34000,"3,884370451","43,609125047"
Amicale des Sapeurs Pompiers de Montpellier,04 67 13 18 18,,,,SPORTS,DIVERS SPORTS,,1567  AVENUE ALBERT EINSTEIN,06,20,1,04,34000,"3,915985077","43,610813979"
Amicale des Transmetteurs du Languedoc-Roussillon,04 67 92 30 69,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,,82  ALLEE JULES MILHAU,07,27,1,01,34000,"3,882740189","43,60900498"
Amicale du Nid,04 67 58 13 93,0467299760,contact@lababotte.org,,SOCIAL ET CITOYENNETE,SOLIDARITE,A.D.N,3  RUE ANATOLE FRANCE,07,31,1,01,34000,"3,876143583","43,605347842"
Amicale Français d'Outre-Mer et leurs Amis,04 67 70 38 29,,,,RAPATRIES,RAPATRIES,AFOMA,31  RUE EMILE CHARTIER (ALAIN),04,12,1,06,34070,"3,869777877","43,595419502"
Amicale Franco-Indonésienne de Montpellier - AFIM,04 67 52 04 44,,,,INTERNATIONAL,CULTURE ETRANGERE,AFIM,1460  RUE PROF JOSEPH ANGLADA,01,02,2,02,34090,"3,855055119","43,632228559"
Amicale Généalogie Méditerranée,04 67 71 34 24,,geneagm@gmail.com,http://www.geneagm.org,SCIENCES,HISTOIRE,AGM,31  RUE EMILE CHARTIER (ALAIN),04,12,1,06,34070,"3,869777877","43,595419502"
Amicale Héraultaise Anciens de l'Enregistrement,04 67 65 58 31,,,,ENTREPRISE ET TRAVAIL,OEUVRES SOCIALES ENTREPRISES,,86  CHEMIN DE MOULARES,06,22,1,04,34070,"3,892601722","43,604287636"
